Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2024-07-01,top_rated_overall,1,GCT,GigaCloud Technology Inc.,RATING: STRONG BUY4.97,RATING: BUY4.08,RATING: BUY4.33,1.23B,,B,A+,B-,A+,A
2024-07-01,top_rated_overall,2,NLCP,"NewLake Capital Partners, Inc.",RATING: STRONG BUY4.97,RATING: BUY3.71,RATING: STRONG BUY5.00,420.80M,7.89%,A-,B,A+,A+,A+
2024-07-01,top_rated_overall,3,SKYW,"SkyWest, Inc.",RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: BUY4.25,3.30B,,A+,A+,B,A+,A
2024-07-01,top_rated_overall,4,PDD,PDD Holdings Inc.,RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: STRONG BUY4.73,183.23B,,B+,A,A+,A,A-
2024-07-01,top_rated_overall,5,GDDY,GoDaddy Inc.,RATING: STRONG BUY4.94,RATING: BUY3.50,RATING: BUY4.11,19.77B,,B-,B+,A+,A,A+
2024-07-01,top_rated_overall,6,DLNG,Dynagas LNG Partners LP Common Units,RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: STRONG BUY5.00,144.04M,,A-,B+,B+,A+,A
2024-07-01,top_rated_overall,7,TCOM,Trip.com Group Limited,RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: STRONG BUY4.66,30.93B,,B,A+,A,A,A
2024-07-01,top_rated_overall,8,FSM,Fortuna Mining Corp.,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: BUY3.60,1.50B,,B+,A-,B+,A,A+
2024-07-01,top_rated_overall,9,SILV,SilverCrest Metals Inc.,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: BUY3.62,1.22B,,A-,A,A-,A,A-
2024-07-01,top_rated_overall,10,IMMR,Immersion Corporation,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: STRONG BUY4.50,302.94M,1.58%,A+,B,A+,A,A-
2024-07-01,top_rated_overall,11,STX,Seagate Technology Holdings plc,RATING: STRONG BUY4.88,RATING: BUY3.66,RATING: BUY3.74,21.86B,2.69%,A+,A,B+,A,B+
2024-07-01,top_rated_overall,12,ACTG,Acacia Research Corporation,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: STRONG BUY5.00,490.11M,,A+,B-,B,A-,A-
2024-07-01,top_rated_overall,13,REVG,"REV Group, Inc.",RATING: STRONG BUY4.87,RATING: BUY4.00,RATING: BUY3.75,1.29B,0.80%,A-,B,B-,A+,A+
2024-07-01,top_rated_overall,14,LYG,Lloyds Banking Group plc,RATING: STRONG BUY4.85,RATING: BUY4.00,RATING: BUY4.33,44.27B,4.94%,A-,A-,A,A,A-
2024-07-01,top_rated_overall,15,PRDO,Perdoceo Education Corporation,RATING: STRONG BUY4.79,RATING: STRONG BUY5.00,RATING: BUY4.00,1.38B,2.10%,A-,B,A-,A,A
