"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-04-01","top_consumer_staples","1","UNFI","United Natural Foods, Inc.","45.45","0.87%","Rating: Strong Buy4.96","Food Distributors","2.74B","NM","-78.00M","-","17.93%","19.78%","Rating: Buy4.00","13.01%","20.78","",""
"2026-04-01","top_consumer_staples","2","CRRFY","Carrefour SA","3.74","0.67%","Rating: Strong Buy4.92","Consumer Staples Merchandise Retail","12.98B","11.02","374.77M","7.05%","-1.46%","21.01%","Rating: Buy4.00","4.70%","2.73","",""
"2026-04-01","top_consumer_staples","3","ASAIY","Sendas Distribuidora S.A.","9.17","1.10%","Rating: Strong Buy4.87","Consumer Staples Merchandise Retail","2.46B","27.26","90.73M","0.14%","-0.87%","5.47%","Rating: Buy4.00","11.38%","6.20","",""
"2026-04-01","top_consumer_staples","4","DAR","Darling Ingredients Inc.","61.70","-0.24%","Rating: Strong Buy4.83","Agricultural Products & Services","9.82B","158.59","62.80M","-","16.35%","100.36%","Rating: Hold3.00","13.70%","26.00","",""
"2026-04-01","top_consumer_staples","5","SFD","Smithfield Foods, Inc.","28.49","1.86%","Rating: Strong Buy4.78","Packaged Foods and Meats","11.01B","11.14","987.00M","4.47%","12.42%","19.12%","Rating: Buy3.50","7.97%","18.55","",""
"2026-04-01","top_consumer_staples","6","BRRLY","Barry Callebaut AG","17.19","-1.43%","Rating: Strong Buy4.75","Packaged Foods and Meats","9.50B","40.97","232.29M","2.08%","-7.18%","26.84%","Rating: Buy4.00","5.20%","8.68","",""
"2026-04-01","top_consumer_staples","7","TSCDY","Tesco PLC","19.09","0.32%","Rating: Strong Buy4.74","Food Retail","39.80B","20.50","2.06B","1.97%","-1.76%","4.39%","Rating: Hold3.00","5.87%","12.16","",""
"2026-04-01","top_consumer_staples","8","AGRO","Adecoagro S.A.","14.72","-2.03%","Rating: Strong Buy4.72","Packaged Foods and Meats","2.14B","NM","-8.35M","2.33%","69.14%","91.58%","Rating: Hold2.50","-1.82%","6.89","",""
"2026-04-01","top_consumer_staples","9","FDP","Fresh Del Monte Produce Inc.","40.39","0.32%","Rating: Strong Buy4.66","Agricultural Products & Services","1.91B","21.41","90.70M","2.98%","-6.22%","15.96%","Rating: Strong Buy5.00","7.30%","29.03","",""
"2026-04-01","top_consumer_staples","10","IMBBY","Imperial Brands PLC","40.67","-0.49%","Rating: Strong Buy4.65","Tobacco","31.64B","12.18","2.79B","5.28%","-8.83%","-4.06%","Rating: Buy4.00","5.05%","34.78","",""
"2026-04-01","top_consumer_staples","11","CCHGY","Coca-Cola HBC AG","56.42","-0.55%","Rating: Strong Buy4.58","Soft Drinks & Non-alcoholic Beverages","20.43B","18.48","1.10B","2.02%","-12.23%","20.31%","-Rating: Not Covered","14.47%","42.30","",""
"2026-04-01","top_consumer_staples","12","USFD","US Foods Holding Corp.","91.33","-0.95%","Rating: Strong Buy4.57","Food Distributors","20.34B","31.36","676.00M","-","-4.55%","20.35%","Rating: Hold3.00","10.38%","57.36","",""
"2026-04-01","top_consumer_staples","13","PM","Philip Morris International Inc.","157.00","-5.04%","Rating: Strong Buy4.56","Tobacco","257.69B","22.77","11.35B","3.56%","-11.50%","1.94%","Rating: Hold3.25","8.60%","142.11","",""
