"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Growth","Market Cap","EmptyEmpty"
"2026-01-01","top_growth","1","MU","Micron Technology, Inc.","309.44","8.42%","Rating: Strong Buy4.99","A+","321.23B",""
"2026-01-01","top_growth","2","LITE","Lumentum Holdings Inc.","385.55","4.60%","Rating: Strong Buy4.99","A+","26.14B",""
"2026-01-01","top_growth","3","NUTX","Nutex Health Inc.","150.65","-8.49%","Rating: Strong Buy4.99","A+","1.16B",""
"2026-01-01","top_growth","4","NGD","New Gold Inc.","8.40","-3.56%","Rating: Strong Buy4.98","A+","6.90B",""
"2026-01-01","top_growth","5","SBSW","Sibanye Stillwater Limited","14.16","-0.63%","Rating: Strong Buy4.98","A","10.35B",""
"2026-01-01","top_growth","6","EQX","Equinox Gold Corp.","13.44","-4.27%","Rating: Strong Buy4.97","A+","11.03B",""
"2026-01-01","top_growth","7","IRS","IRSA Inversiones y Representaciones Sociedad Anónima","16.44","-0.60%","Rating: Strong Buy4.96","A+","1.34B",""
"2026-01-01","top_growth","8","APLD","Applied Digital Corporation","27.94","13.93%","Rating: Strong Buy4.96","A+","7.00B",""
"2026-01-01","top_growth","9","CRDO","Credo Technology Group Holding Ltd","142.94","-0.66%","Rating: Strong Buy4.96","A+","25.99B",""
"2026-01-01","top_growth","10","GFI","Gold Fields Limited","42.73","-2.13%","Rating: Strong Buy4.95","A","39.27B",""
"2026-01-01","top_growth","11","PAAS","Pan American Silver Corp.","50.28","-2.95%","Rating: Strong Buy4.95","A+","21.88B",""
"2026-01-01","top_growth","12","IAG","IAMGOLD Corporation","15.81","-4.12%","Rating: Strong Buy4.95","A+","9.50B",""
"2026-01-01","top_growth","13","CGAU","Centerra Gold Inc.","13.96","-2.85%","Rating: Strong Buy4.94","A","2.91B",""
"2026-01-01","top_growth","14","NTOIY","Neste Oyj","11.64","2.83%","Rating: Strong Buy4.94","A+","17.51B",""
"2026-01-01","top_growth","15","LQDA","Liquidia Corporation","31.20","-9.54%","Rating: Strong Buy4.93","A","3.00B",""
"2026-01-01","top_growth","16","AU","AngloGold Ashanti plc","84.38","-1.06%","Rating: Strong Buy4.92","A","43.06B",""
"2026-01-01","top_growth","17","CDE","Coeur Mining, Inc.","17.14","-3.90%","Rating: Strong Buy4.91","A+","11.45B",""
"2026-01-01","top_growth","18","DB","Deutsche Bank Aktiengesellschaft","39.35","2.05%","Rating: Strong Buy4.91","A","74.15B",""
"2026-01-01","top_growth","19","ORLA","Orla Mining Ltd.","13.07","-2.97%","Rating: Strong Buy4.90","A+","4.57B",""
"2026-01-01","top_growth","20","INCY","Incyte Corporation","100.54","1.79%","Rating: Strong Buy4.90","A+","19.39B",""
"2026-01-01","top_growth","21","SSRM","SSR Mining Inc.","21.02","-4.11%","Rating: Strong Buy4.89","A+","4.45B",""
"2026-01-01","top_growth","22","W","Wayfair Inc.","106.99","6.55%","Rating: Strong Buy4.89","A+","13.09B",""
"2026-01-01","top_growth","23","UNFI","United Natural Foods, Inc.","33.79","0.36%","Rating: Strong Buy4.89","A+","2.05B",""
"2026-01-01","top_growth","24","VRDN","Viridian Therapeutics, Inc.","30.71","-1.33%","Rating: Strong Buy4.88","A+","2.97B",""
"2026-01-01","top_growth","25","BVN","Compañía de Minas Buenaventura S.A.A.","28.06","0.83%","Rating: Strong Buy4.88","A+","7.07B",""
"2026-01-01","top_growth","26","PARR","Par Pacific Holdings, Inc.","35.61","1.32%","Rating: Strong Buy4.87","A+","1.77B",""
"2026-01-01","top_growth","27","AUGO","Aura Minerals Inc.","49.60","-1.62%","Rating: Strong Buy4.87","A+","4.21B",""
"2026-01-01","top_growth","28","AUPH","Aurinia Pharmaceuticals Inc.","15.18","-4.86%","Rating: Strong Buy4.86","A","2.10B",""
"2026-01-01","top_growth","29","ALL","The Allstate Corporation","204.17","-1.91%","Rating: Strong Buy4.86","A+","54.47B",""
"2026-01-01","top_growth","30","CX","CEMEX, S.A.B. de C.V.","11.49","-0.04%","Rating: Strong Buy4.86","A","16.63B",""
"2026-01-01","top_growth","31","PAA","Plains All American Pipeline, L.P. Common Units","18.13","0.95%","Rating: Strong Buy4.85","A","12.67B",""
"2026-01-01","top_growth","32","GLXY","Galaxy Digital Inc.","24.14","7.96%","Rating: Strong Buy4.85","A+","8.73B",""
"2026-01-01","top_growth","33","HGTY","Hagerty, Inc.","13.16","-2.08%","Rating: Strong Buy4.84","A+","4.60B",""
"2026-01-01","top_growth","34","AA","Alcoa Corporation","55.84","5.08%","Rating: Strong Buy4.84","A","13.88B",""
"2026-01-01","top_growth","35","JLL","Jones Lang LaSalle Incorporated","335.06","-0.42%","Rating: Strong Buy4.84","A","15.88B",""
"2026-01-01","top_growth","36","ALPMY","Astellas Pharma Inc.","13.37","0.57%","Rating: Strong Buy4.84","A+","23.92B",""
"2026-01-01","top_growth","37","ATI","ATI Inc.","117.34","2.25%","Rating: Strong Buy4.83","A","15.59B",""
"2026-01-01","top_growth","38","UBER","Uber Technologies, Inc.","82.63","1.13%","Rating: Strong Buy4.82","A","169.78B",""
"2026-01-01","top_growth","39","AXIA","AXIA Energia SA","9.23","0.76%","Rating: Strong Buy4.82","A+","20.79B",""
"2026-01-01","top_growth","40","DAVE","Dave Inc.","217.77","-1.64%","Rating: Strong Buy4.82","A","2.99B",""
"2026-01-01","top_growth","41","ARGX","argenx SE","847.92","0.83%","Rating: Strong Buy4.82","A+","51.52B",""
"2026-01-01","top_growth","42","THG","The Hanover Insurance Group, Inc.","178.42","-2.38%","Rating: Strong Buy4.81","A+","6.50B",""
"2026-01-01","top_growth","43","DRH","DiamondRock Hospitality Company","9.08","1.34%","Rating: Strong Buy4.81","A","1.84B",""
"2026-01-01","top_growth","44","SOBO","South Bow Corporation","27.96","1.77%","Rating: Strong Buy4.80","A+","5.73B",""
"2026-01-01","top_growth","45","PFE","Pfizer Inc.","25.09","0.74%","Rating: Strong Buy4.79","A+","141.57B",""
"2026-01-01","top_growth","46","FANUY","Fanuc Corporation","19.59","0.62%","Rating: Strong Buy4.78","A+","36.22B",""
"2026-01-01","top_growth","47","HBM","Hudbay Minerals Inc.","19.87","0.08%","Rating: Strong Buy4.78","A","7.87B",""
"2026-01-01","top_growth","48","KRYS","Krystal Biotech, Inc.","242.46","-1.65%","Rating: Strong Buy4.77","A+","7.15B",""
"2026-01-01","top_growth","49","FUTU","Futu Holdings Limited","177.32","7.98%","Rating: Strong Buy4.76","A","22.86B",""
"2026-01-01","top_growth","50","FSLY","Fastly, Inc.","10.16","-0.25%","Rating: Strong Buy4.75","A+","1.52B",""
"2026-01-01","top_growth","51","LTM","LATAM Airlines Group S.A.","54.34","0.61%","Rating: Strong Buy4.74","A","16.10B",""
"2026-01-01","top_growth","52","FTRE","Fortrea Holdings Inc.","16.39","-4.99%","Rating: Strong Buy4.73","A+","1.59B",""
"2026-01-01","top_growth","53","VRTX","Vertex Pharmaceuticals Incorporated","450.85","-0.55%","Rating: Strong Buy4.72","A+","115.03B",""
"2026-01-01","top_growth","54","ILMN","Illumina, Inc.","132.64","1.13%","Rating: Strong Buy4.72","A","20.04B",""
"2026-01-01","top_growth","55","BTSG","BrightSpring Health Services, Inc.","37.92","1.26%","Rating: Strong Buy4.72","A+","7.76B",""
"2026-01-01","top_growth","56","HHH","Howard Hughes Holdings Inc.","79.20","-0.71%","Rating: Strong Buy4.71","A+","4.71B",""
"2026-01-01","top_growth","57","ALLY","Ally Financial Inc.","45.40","0.24%","Rating: Strong Buy4.71","A","13.95B",""
"2026-01-01","top_growth","58","ERIC","Telefonaktiebolaget LM Ericsson (publ)","9.49","-1.66%","Rating: Strong Buy4.70","A","32.79B",""
"2026-01-01","top_growth","59","ATRC","AtriCure, Inc.","39.01","-1.39%","Rating: Strong Buy4.70","A+","1.97B",""
"2026-01-01","top_growth","60","EXEL","Exelixis, Inc.","43.36","-1.07%","Rating: Strong Buy4.70","A+","11.80B",""
"2026-01-01","top_growth","61","RIG","Transocean Ltd.","4.24","2.66%","Rating: Strong Buy4.69","A","4.55B",""
"2026-01-01","top_growth","62","EADSY","Airbus SE","59.60","2.90%","Rating: Strong Buy4.69","A","183.95B",""
"2026-01-01","top_growth","63","INVA","Innoviva, Inc.","19.93","-0.30%","Rating: Strong Buy4.69","A","1.49B",""
"2026-01-01","top_growth","64","SUPN","Supernus Pharmaceuticals, Inc.","48.99","-1.43%","Rating: Strong Buy4.68","A+","2.85B",""
"2026-01-01","top_growth","65","BMY","Bristol-Myers Squibb Company","53.57","0.49%","Rating: Strong Buy4.68","A+","109.81B",""
"2026-01-01","top_growth","66","EGO","Eldorado Gold Corporation","34.84","-3.01%","Rating: Strong Buy4.68","A+","7.22B",""
"2026-01-01","top_growth","67","SYM","Symbotic Inc.","64.84","8.97%","Rating: Strong Buy4.68","A","35.69B",""
"2026-01-01","top_growth","68","BANC","Banc of California, Inc.","19.42","0.67%","Rating: Strong Buy4.67","A","3.00B",""
"2026-01-01","top_growth","69","SEZL","Sezzle Inc.","65.12","2.59%","Rating: Strong Buy4.66","A+","2.17B",""
"2026-01-01","top_growth","70","CWEN","Clearway Energy, Inc.","33.96","2.10%","Rating: Strong Buy4.65","A","6.64B",""
"2026-01-01","top_growth","71","AMRX","Amneal Pharmaceuticals, Inc.","12.53","-0.56%","Rating: Strong Buy4.65","A+","3.96B",""
"2026-01-01","top_growth","72","DINO","HF Sinclair Corporation","46.68","1.30%","Rating: Strong Buy4.64","A+","8.48B",""
"2026-01-01","top_growth","73","PAGP","Plains GP Holdings, L.P. Class A Shares","19.35","1.07%","Rating: Strong Buy4.64","A+","4.46B",""
"2026-01-01","top_growth","74","XPRO","Expro Group Holdings N.V.","13.58","1.72%","Rating: Strong Buy4.64","A","1.54B",""
"2026-01-01","top_growth","75","SUBCY","Subsea 7 S.A.","20.78","3.02%","Rating: Strong Buy4.63","A+","5.97B",""
"2026-01-01","top_growth","76","TMP","Tompkins Financial Corporation","72.18","-0.47%","Rating: Strong Buy4.63","A+","1.05B",""
"2026-01-01","top_growth","77","MTZ","MasTec, Inc.","226.57","4.23%","Rating: Strong Buy4.61","A+","16.88B",""
"2026-01-01","top_growth","78","TTAN","ServiceTitan, Inc.","102.31","-3.93%","Rating: Strong Buy4.61","A+","9.97B",""
"2026-01-01","top_growth","79","VCYT","Veracyte, Inc.","42.29","0.45%","Rating: Strong Buy4.61","A","3.33B",""
"2026-01-01","top_growth","80","KPLUY","K+S Aktiengesellschaft","7.22","-1.63%","Rating: Strong Buy4.60","A","2.61B",""
"2026-01-01","top_growth","81","AS","Amer Sports, Inc.","37.59","0.64%","Rating: Strong Buy4.59","A","20.71B",""
"2026-01-01","top_growth","82","CENX","Century Aluminum Company","40.41","3.14%","Rating: Strong Buy4.58","A+","3.66B",""
"2026-01-01","top_growth","83","FIHL","Fidelis Insurance Holdings Limited","19.29","-1.43%","Rating: Strong Buy4.56","A+","2.02B",""
"2026-01-01","top_growth","84","PROSY","Prosus N.V.","12.61","1.98%","Rating: Strong Buy4.55","A","136.44B",""
"2026-01-01","top_growth","85","ALGT","Allegiant Travel Company","87.19","2.25%","Rating: Strong Buy4.53","A","1.51B",""
"2026-01-01","top_growth","86","EPRT","Essential Properties Realty Trust, Inc.","29.88","0.74%","Rating: Strong Buy4.53","A","5.89B",""
"2026-01-01","top_growth","87","MESO","Mesoblast Limited","18.03","-0.06%","Rating: Strong Buy4.51","A+","2.33B",""
"2026-01-01","top_growth","88","VWDRY","Vestas Wind Systems A/S","9.31","3.81%","Rating: Buy4.49","A+","27.01B",""
"2026-01-01","top_growth","89","RLX","RLX Technology Inc.","2.33","0.00%","Rating: Buy4.48","A+","2.84B",""
"2026-01-01","top_growth","90","TAL","TAL Education Group","11.52","5.59%","Rating: Buy4.48","A+","6.64B",""
"2026-01-01","top_growth","91","WK","Workiva Inc.","83.43","-3.27%","Rating: Buy4.47","A","4.84B",""
"2026-01-01","top_growth","92","PGY","Pagaya Technologies Ltd.","22.12","5.84%","Rating: Buy4.47","A+","1.68B",""
"2026-01-01","top_growth","93","PCOR","Procore Technologies, Inc.","69.93","-3.86%","Rating: Buy4.45","A","11.31B",""
"2026-01-01","top_growth","94","LYFT","Lyft, Inc.","19.63","1.32%","Rating: Buy4.41","A+","7.74B",""
"2026-01-01","top_growth","95","ELUXY","AB Electrolux (publ)","13.73","-0.65%","Rating: Buy4.38","A","1.88B",""
"2026-01-01","top_growth","96","ADMA","ADMA Biologics, Inc.","17.73","-2.80%","Rating: Buy4.37","A+","4.34B",""
"2026-01-01","top_growth","97","HASI","HA Sustainable Infrastructure Capital, Inc.","31.52","0.29%","Rating: Buy4.35","A+","4.01B",""
"2026-01-01","top_growth","98","BILI","Bilibili Inc.","26.34","7.10%","Rating: Buy4.33","A+","10.17B",""
"2026-01-01","top_growth","99","CYD","China Yuchai International Limited","36.71","3.41%","Rating: Buy4.32","A","1.33B",""
"2026-01-01","top_growth","100","LTH","Life Time Group Holdings, Inc.","26.62","0.13%","Rating: Buy4.26","A","5.86B",""
