"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-05-01","top_healthcare","1","IRWD","Ironwood Pharmaceuticals, Inc.","4.13","-0.60%","Rating: Strong Buy4.98","Biotechnology","672.62M","27.80","24.02M","-","27.71%","175.00%","Rating: Sell2.00","47.49%","0.53","",""
"2026-05-01","top_healthcare","2","ANL","Adlai Nortye Ltd.","14.27","1.28%","Rating: Strong Buy4.97","Biotechnology","570.80M","NM","-35.53M","-","115.89%","926.69%","Rating: Hold3.00","-","0.88","",""
"2026-05-01","top_healthcare","3","PACS","PACS Group, Inc.","33.55","0.45%","Rating: Strong Buy4.95","Health Care Facilities","5.27B","27.50","191.54M","-","10.43%","174.10%","-Rating: Not Covered","30.89%","7.50","",""
"2026-05-01","top_healthcare","4","OVID","Ovid Therapeutics Inc.","2.77","2.97%","Rating: Strong Buy4.90","Biotechnology","479.31M","NM","-17.41M","-","31.28%","102.19%","Rating: Buy4.00","-","0.27","",""
"2026-05-01","top_healthcare","5","CNC","Centene Corporation","53.69","-0.54%","Rating: Strong Buy4.89","Managed Health Care","26.51B","NM","-6.44B","-","68.84%","53.31%","Rating: Buy3.80","-16.59%","25.08","",""
"2026-05-01","top_healthcare","6","VXRT","Vaxart, Inc.","0.77","1.82%","Rating: Strong Buy4.86","Biotechnology","185.70M","11.00","16.33M","-","28.33%","118.91%","-Rating: Not Covered","-","0.26","",""
"2026-05-01","top_healthcare","7","INNV","InnovAge Holding Corp.","8.15","0.99%","Rating: Strong Buy4.85","Health Care Services","1.11B","170.46","6.47M","-","3.56%","76.79%","Rating: Buy4.00","71.78%","2.84","",""
"2026-05-01","top_healthcare","8","MEDXF","Medexus Pharmaceuticals Inc.","2.96","2.99%","Rating: Strong Buy4.85","Pharmaceuticals","93.36M","NM","-272.00K","-","37.67%","48.74%","-Rating: Not Covered","9.60%","1.80","",""
"2026-05-01","top_healthcare","9","IPSC","Century Therapeutics, Inc.","2.29","4.09%","Rating: Strong Buy4.84","Biotechnology","412.33M","NM","-9.58M","-","12.81%","286.82%","Rating: Buy4.00","-","0.44","",""
"2026-05-01","top_healthcare","10","TNGX","Tango Therapeutics, Inc.","21.62","-1.99%","Rating: Strong Buy4.83","Biotechnology","3.12B","NM","-101.59M","-","12.55%","171.27%","Rating: Hold3.00","NM","1.03","",""
"2026-05-01","top_healthcare","11","RLAY","Relay Therapeutics, Inc.","12.96","3.10%","Rating: Strong Buy4.83","Biotechnology","2.45B","NM","-276.48M","-","38.61%","76.57%","Rating: Buy4.00","NM","2.67","",""
"2026-05-01","top_healthcare","12","JAZZ","Jazz Pharmaceuticals plc","203.02","1.55%","Rating: Strong Buy4.82","Pharmaceuticals","12.50B","NM","-356.15M","-","10.85%","48.95%","Rating: Buy4.00","6.50%","97.50","",""
"2026-05-01","top_healthcare","13","BTSG","BrightSpring Health Services, Inc.","47.97","-0.37%","Rating: Strong Buy4.81","Health Care Services","9.83B","99.94","190.67M","-","15.48%","46.29%","-Rating: Not Covered","14.97%","19.01","",""
"2026-05-01","top_healthcare","14","BMY","Bristol-Myers Squibb Company","60.59","5.21%","Rating: Strong Buy4.80","Pharmaceuticals","123.71B","17.51","7.05B","4.16%","1.44%","32.81%","Rating: Buy4.00","44.15%","42.52","",""
"2026-05-01","top_healthcare","15","DVA","DaVita Inc.","155.14","2.07%","Rating: Strong Buy4.77","Health Care Services","10.23B","16.31","746.80M","-","1.82%","30.64%","Rating: Hold3.00","2.89%","101.00","",""
"2026-05-01","top_healthcare","16","CAH","Cardinal Health, Inc.","192.88","-4.90%","Rating: Strong Buy4.75","Health Care Distributors","45.39B","29.50","1.56B","1.06%","-6.51%","1.60%","Rating: Buy3.50","15.44%","137.75","",""
"2026-05-01","top_healthcare","17","MCK","McKesson Corporation","815.20","-0.90%","Rating: Strong Buy4.74","Health Care Distributors","99.85B","23.46","4.34B","0.40%","-5.23%","-1.25%","Rating: Hold3.00","11.77%","637.00","",""
"2026-05-01","top_healthcare","18","ALPMY","Astellas Pharma Inc.","14.30","0.70%","Rating: Strong Buy4.72","Pharmaceuticals","25.54B","13.95","1.84B","-","-11.40%","31.19%","-Rating: Not Covered","34.02%","8.97","",""
"2026-05-01","top_healthcare","19","BFLY","Butterfly Network, Inc.","4.79","-2.64%","Rating: Strong Buy4.69","Health Care Equipment","1.22B","NM","-75.77M","-","25.07%","134.80%","Rating: Buy4.00","NM","1.32","",""
"2026-05-01","top_healthcare","20","INDV","Indivior Pharmaceuticals, Inc.","36.78","7.70%","Rating: Strong Buy4.66","Pharmaceuticals","4.48B","18.88","252.00M","-","27.80%","26.26%","Rating: Buy4.00","25.46%","10.63","",""
"2026-05-01","top_healthcare","21","CAPR","Capricor Therapeutics, Inc.","33.58","3.45%","Rating: Strong Buy4.66","Biotechnology","1.94B","NM","-105.04M","-","20.92%","440.74%","Rating: Buy4.00","NM","4.30","",""
"2026-05-01","top_healthcare","22","GMED","Globus Medical, Inc.","90.18","2.72%","Rating: Strong Buy4.65","Health Care Equipment","12.23B","23.01","537.87M","-","7.99%","48.52%","Rating: Buy4.00","16.06%","51.79","",""
"2026-05-01","top_healthcare","23","CGON","CG Oncology, Inc.","66.74","3.07%","Rating: Strong Buy4.65","Biotechnology","5.64B","NM","-161.00M","-","4.35%","57.15%","Rating: Sell2.00","NM","21.00","",""
"2026-05-01","top_healthcare","24","NVST","Envista Holdings Corporation","25.94","0.15%","Rating: Strong Buy4.64","Health Care Equipment","4.23B","92.72","47.00M","-","6.92%","28.80%","-Rating: Not Covered","13.46%","16.29","",""
"2026-05-01","top_healthcare","25","TBRG","TruBridge, Inc.","25.70","-0.12%","Rating: Strong Buy4.63","Health Care Technology","373.77M","88.62","4.35M","-","83.57%","33.37%","Rating: Buy4.00","15.68%","13.88","",""
"2026-05-01","top_healthcare","26","TBPH","Theravance Biopharma, Inc.","16.74","0.42%","Rating: Strong Buy4.56","Pharmaceuticals","861.99M","8.13","105.90M","-","9.70%","17.06%","-Rating: Not Covered","-","8.33","",""
"2026-05-01","top_healthcare","27","HOCPY","HOYA Corporation","186.80","3.50%","Rating: Strong Buy4.54","Health Care Supplies","61.63B","39.78","1.60B","-","10.72%","18.68%","-Rating: Not Covered","2.04%","110.85","",""
"2026-05-01","top_healthcare","28","EQ","Equillium, Inc.","2.04","-1.92%","Rating: Strong Buy4.54","Biotechnology","128.98M","NM","-22.40M","-","16.57%","43.66%","Rating: Hold3.00","-","0.27","",""
"2026-05-01","top_healthcare","29","TCMD","Tactile Systems Technology, Inc.","23.02","2.31%","Rating: Strong Buy4.54","Health Care Equipment","523.71M","28.07","19.09M","-","-11.05%","52.75%","-Rating: Not Covered","16.77%","8.61","",""
"2026-05-01","top_healthcare","30","ELMD","Electromed, Inc.","25.71","2.43%","Rating: Strong Buy4.51","Health Care Equipment","212.76M","24.96","8.99M","-","5.63%","6.55%","Rating: Buy4.00","28.84%","17.73","",""
"2026-05-01","top_healthcare","31","KALV","KalVista Pharmaceuticals, Inc.","26.66","-0.04%","Rating: Buy4.48","Biotechnology","1.37B","NM","-164.29M","-","45.21%","143.03%","Rating: Buy4.00","-","9.83","",""
"2026-05-01","top_healthcare","32","VTVT","vTv Therapeutics Inc.","32.24","3.10%","Rating: Buy4.46","Biotechnology","400.08M","NM","-26.97M","-","-12.15%","53.01%","Rating: Buy4.00","-","14.00","",""
