"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-04-01","top_industrial","1","VICR","Vicor Corporation","165.40","2.73%","Rating: Strong Buy4.98","Electrical Components and Equipment","7.19B","61.69","118.56M","-","-20.06%","223.81%","Rating: Buy4.00","124.37%","38.93","",""
"2026-04-01","top_industrial","2","CVGI","Commercial Vehicle Group, Inc.","3.62","6.16%","Rating: Strong Buy4.97","Construction Machinery & Heavy Transportation Equipment","116.72M","NM","-22.78M","-","99.42%","100.59%","Rating: Hold3.00","14.44%","0.81","",""
"2026-04-01","top_industrial","3","DSX","Diana Shipping Inc.","2.49","-0.40%","Rating: Strong Buy4.93","Marine Transportation","277.07M","22.90","17.83M","1.60%","-3.10%","48.81%","Rating: Buy3.50","13.93%","1.27","",""
"2026-04-01","top_industrial","4","MOD","Modine Manufacturing Company","225.50","4.06%","Rating: Strong Buy4.92","Building Products","11.43B","118.31","97.80M","-","-4.64%","52.44%","Rating: Buy3.50","27.79%","64.79","",""
"2026-04-01","top_industrial","5","SHIP","Seanergy Maritime Holdings Corp.","13.50","4.57%","Rating: Strong Buy4.92","Marine Transportation","272.58M","12.78","21.24M","6.20%","-10.03%","56.30%","Rating: Strong Buy4.50","1.92%","4.78","",""
"2026-04-01","top_industrial","6","FDX","FedEx Corporation","363.66","2.10%","Rating: Strong Buy4.90","Air Freight and Logistics","84.99B","18.95","4.48B","1.63%","-7.96%","51.05%","Rating: Hold3.20","4.21%","194.30","",""
"2026-04-01","top_industrial","7","ATI","ATI Inc.","155.33","6.79%","Rating: Strong Buy4.88","Aerospace and Defense","19.85B","51.04","404.30M","-","-11.08%","78.83%","Rating: Buy4.12","16.76%","39.23","",""
"2026-04-01","top_industrial","8","NXT","Nextpower Inc.","123.84","2.73%","Rating: Strong Buy4.88","Electrical Components and Equipment","17.90B","30.81","592.07M","-","14.70%","62.93%","Rating: Buy3.50","21.94%","36.06","",""
"2026-04-01","top_industrial","9","KMT","Kennametal Inc.","37.18","2.91%","Rating: Strong Buy4.85","Industrial Machinery & Supplies & Components","2.75B","25.24","110.26M","2.21%","-10.30%","72.62%","Rating: Hold3.00","9.71%","17.30","",""
"2026-04-01","top_industrial","10","SWRAY","Swire Pacific Limited","11.16","0.90%","Rating: Strong Buy4.85","Industrial Conglomerates","13.13B","40.14","377.50M","5.77%","3.08%","31.04%","-Rating: Not Covered","6.51%","7.77","",""
"2026-04-01","top_industrial","11","ATRO","Astronics Corporation","71.13","6.59%","Rating: Strong Buy4.84","Aerospace and Defense","2.36B","82.38","29.36M","-","-17.23%","46.31%","Rating: Buy4.00","29.39%","19.89","",""
"2026-04-01","top_industrial","12","STRL","Sterling Infrastructure, Inc.","432.51","6.20%","Rating: Strong Buy4.84","Construction and Engineering","12.50B","43.42","290.15M","-","-4.87%","19.90%","Rating: Buy3.85","31.03%","96.34","",""
"2026-04-01","top_industrial","13","AIR","AAR Corp.","114.52","4.62%","Rating: Strong Buy4.82","Aerospace and Defense","4.29B","24.23","171.00M","-","-6.58%","22.07%","Rating: Buy4.00","23.27%","46.51","",""
"2026-04-01","top_industrial","14","MYRG","MYR Group Inc.","296.44","5.00%","Rating: Strong Buy4.82","Construction and Engineering","4.39B","37.49","118.42M","-","4.58%","35.71%","Rating: Buy4.00","38.62%","97.72","",""
"2026-04-01","top_industrial","15","NMM","Navios Maritime Partners L.P. Common Units","67.86","0.56%","Rating: Strong Buy4.81","Marine Transportation","1.97B","6.93","285.33M","0.30%","-6.49%","49.79%","Rating: Buy4.00","6.53%","28.37","",""
"2026-04-01","top_industrial","16","DHLGY","Deutsche Post AG","27.06","3.26%","Rating: Strong Buy4.81","Air Freight and Logistics","57.54B","14.48","4.11B","4.00%","-11.03%","17.67%","Rating: Buy4.00","6.43%","17.80","",""
"2026-04-01","top_industrial","17","KHNGY","Kuehne + Nagel International AG","46.24","1.45%","Rating: Strong Buy4.79","Marine Transportation","26.78B","23.55","1.11B","4.30%","-2.02%","21.87%","-Rating: Not Covered","2.12%","36.76","",""
"2026-04-01","top_industrial","18","MG","Mistras Group, Inc.","15.42","4.33%","Rating: Strong Buy4.77","Research and Consulting Services","466.98M","27.89","16.84M","-","-3.27%","50.20%","Rating: Buy4.00","7.25%","7.06","",""
"2026-04-01","top_industrial","19","ISSC","Innovative Aerosystems, Inc.","22.20","8.13%","Rating: Strong Buy4.76","Aerospace and Defense","364.99M","19.44","18.95M","-","-20.86%","64.37%","Rating: Strong Buy4.50","28.76%","5.30","",""
"2026-04-01","top_industrial","20","CYD","China Yuchai International Limited","39.92","3.69%","Rating: Strong Buy4.76","Construction Machinery & Heavy Transportation Equipment","1.44B","18.80","76.85M","1.38%","-23.43%","-6.94%","Rating: Buy3.50","31.75%","12.66","",""
"2026-04-01","top_industrial","21","PLOW","Douglas Dynamics, Inc.","43.12","2.45%","Rating: Strong Buy4.74","Construction Machinery & Heavy Transportation Equipment","971.64M","21.48","46.90M","2.80%","-8.34%","34.64%","Rating: Buy4.00","14.59%","21.30","",""
"2026-04-01","top_industrial","22","DLAKY","Deutsche Lufthansa AG","9.08","6.70%","Rating: Strong Buy4.73","Passenger Airlines","9.97B","6.37","1.57B","3.97%","-21.06%","0.83%","Rating: Buy4.00","10.80%","6.21","",""
"2026-04-01","top_industrial","23","SDVKY","Sandvik AB (publ)","39.73","3.29%","Rating: Strong Buy4.72","Industrial Machinery & Supplies & Components","47.35B","28.46","1.60B","1.55%","-12.59%","37.16%","Rating: Buy3.50","16.09%","16.94","",""
"2026-04-01","top_industrial","24","LUV","Southwest Airlines Co.","38.50","2.48%","Rating: Strong Buy4.72","Passenger Airlines","18.45B","47.43","441.00M","1.92%","-23.73%","17.74%","Rating: Hold2.50","30.31%","23.82","",""
"2026-04-01","top_industrial","25","MTZ","MasTec, Inc.","340.66","5.88%","Rating: Strong Buy4.72","Construction and Engineering","25.05B","63.46","399.04M","-","7.96%","51.19%","Rating: Buy4.00","19.27%","99.70","",""
"2026-04-01","top_industrial","26","GRC","The Gorman-Rupp Company","64.97","4.57%","Rating: Strong Buy4.71","Industrial Machinery & Supplies & Components","1.63B","30.82","53.02M","1.22%","-3.27%","33.87%","Rating: Hold3.00","5.80%","30.87","",""
"2026-04-01","top_industrial","27","KRT","Karat Packaging Inc.","28.49","2.04%","Rating: Strong Buy4.71","Trading Companies and Distributors","557.39M","17.90","31.48M","6.45%","13.27%","10.75%","Rating: Hold3.00","9.35%","20.61","",""
"2026-04-01","top_industrial","28","RBC","RBC Bearings Incorporated","558.14","2.77%","Rating: Strong Buy4.71","Industrial Machinery & Supplies & Components","17.17B","63.90","268.60M","-","-5.70%","39.16%","Rating: Sell2.00","12.34%","297.28","",""
"2026-04-01","top_industrial","29","TRAUF","Transurban Group Stapled Securities","9.62","-3.08%","Rating: Strong Buy4.71","Highways and Railtracks","30.16B","94.26","318.94M","4.57%","-2.34%","14.49%","-Rating: Not Covered","9.51%","7.86","",""
"2026-04-01","top_industrial","30","ALGT","Allegiant Travel Company","84.39","4.13%","Rating: Strong Buy4.68","Passenger Airlines","1.48B","NM","-44.70M","-","-20.67%","33.36%","Rating: Buy4.00","16.75%","39.80","",""
"2026-04-01","top_industrial","31","ICAGY","International Consolidated Airlines Group S.A.","9.91","3.93%","Rating: Strong Buy4.67","Passenger Airlines","20.89B","5.67","3.93B","1.17%","-16.40%","-8.01%","Rating: Buy4.00","10.05%","5.60","",""
"2026-04-01","top_industrial","32","RUSHA","Rush Enterprises, Inc.","67.05","1.42%","Rating: Strong Buy4.65","Trading Companies and Distributors","5.06B","20.22","263.78M","1.15%","-6.85%","23.64%","-Rating: Not Covered","1.46%","45.67","",""
"2026-04-01","top_industrial","33","ORN","Orion Group Holdings, Inc.","11.55","5.96%","Rating: Strong Buy4.64","Construction and Engineering","436.91M","181.67","2.49M","-","-20.61%","31.01%","Rating: Strong Buy4.50","18.47%","4.64","",""
"2026-04-01","top_industrial","34","WEGZY","WEG S.A.","9.93","1.22%","Rating: Strong Buy4.63","Electrical Components and Equipment","41.32B","35.51","1.16B","0.78%","1.76%","44.69%","Rating: Hold3.00","14.52%","6.35","",""
"2026-04-01","top_industrial","35","ASTE","Astec Industries, Inc.","56.60","5.13%","Rating: Strong Buy4.62","Construction Machinery & Heavy Transportation Equipment","1.23B","32.05","38.80M","0.97%","-13.29%","11.86%","Rating: Buy4.00","21.82%","29.65","",""
"2026-04-01","top_industrial","36","FLR","Fluor Corporation","48.76","4.52%","Rating: Strong Buy4.62","Construction and Engineering","6.68B","NM","-51.00M","-","-10.82%","10.89%","Rating: Hold3.00","1.47%","29.20","",""
"2026-04-01","top_industrial","37","ZTO","ZTO Express (Cayman) Inc.","24.76","-1.63%","Rating: Strong Buy4.62","Air Freight and Logistics","19.22B","15.73","1.30B","3.10%","3.24%","31.09%","Rating: Buy4.00","4.66%","16.34","",""
"2026-04-01","top_industrial","38","SYM","Symbotic Inc.","56.85","6.86%","Rating: Strong Buy4.61","Industrial Machinery & Supplies & Components","32.04B","NM","-11.16M","-","-2.88%","-1.30%","Rating: Buy3.80","73.42%","16.32","",""
"2026-04-01","top_industrial","39","EDRY","EuroDry Ltd.","19.08","-3.17%","Rating: Strong Buy4.59","Marine Transportation","56.94M","NM","-4.26M","-","-10.37%","57.60%","-Rating: Not Covered","24.90%","7.60","",""
"2026-04-01","top_industrial","40","PRLB","Proto Labs, Inc.","58.97","3.42%","Rating: Strong Buy4.58","Industrial Machinery & Supplies & Components","1.36B","64.80","21.24M","-","-8.15%","13.97%","Rating: Hold3.00","5.52%","29.59","",""
"2026-04-01","top_industrial","41","ANYYY","Aena SME S.A. ADR","14.98","-0.30%","Rating: Strong Buy4.56","Airport Services","44.24B","17.54","2.51B","4.28%","-5.83%","9.56%","Rating: Hold3.00","9.87%","1.83","",""
"2026-04-01","top_industrial","42","LMT","Lockheed Martin Corporation","617.20","2.12%","Rating: Strong Buy4.55","Aerospace and Defense","139.29B","28.12","5.02B","2.28%","-8.16%","21.07%","Rating: Buy3.55","11.01%","410.11","",""
"2026-04-01","top_industrial","43","LQDT","Liquidity Services, Inc.","31.17","1.96%","Rating: Strong Buy4.54","Diversified Support Services","948.09M","33.24","29.77M","-","-3.29%","11.45%","Rating: Buy4.00","16.99%","21.67","",""
"2026-04-01","top_industrial","44","ECG","Everus Construction Group, Inc.","127.41","7.92%","Rating: Strong Buy4.53","Construction and Engineering","6.03B","29.89","201.77M","-","-2.32%","37.68%","Rating: Hold3.00","16.94%","31.38","",""
"2026-04-01","top_industrial","45","MWA","Mueller Water Products, Inc.","28.15","2.40%","Rating: Strong Buy4.53","Industrial Machinery & Supplies & Components","4.30B","21.64","199.60M","1.02%","-8.15%","7.72%","Rating: Hold3.00","10.27%","22.01","",""
"2026-04-01","top_industrial","46","TAYD","Taylor Devices, Inc.","58.45","2.54%","Rating: Strong Buy4.51","Industrial Machinery & Supplies & Components","179.73M","18.97","9.89M","-","-35.04%","16.18%","-Rating: Not Covered","-","29.50","",""
"2026-04-01","top_industrial","47","GNK","Genco Shipping & Trading Limited","23.12","2.53%","Rating: Strong Buy4.50","Marine Transportation","976.82M","NM","-4.37M","8.87%","-6.24%","26.69%","-Rating: Not Covered","5.61%","11.20","",""
"2026-04-01","top_industrial","48","ELVA","Electrovaya Inc.","8.20","4.80%","Rating: Buy4.49","Electrical Components and Equipment","385.74M","75.18","4.82M","-","3.44%","32.77%","Rating: Buy4.00","88.33%","2.25","",""
"2026-04-01","top_industrial","49","ALSN","Allison Transmission Holdings, Inc.","119.59","2.16%","Rating: Buy4.46","Construction Machinery & Heavy Transportation Equipment","9.73B","15.97","623.00M","0.99%","-6.58%","37.91%","Rating: Hold3.00","11.72%","76.01","",""
"2026-04-01","top_industrial","50","BLBD","Blue Bird Corporation","58.93","3.77%","Rating: Buy4.45","Construction Machinery & Heavy Transportation Equipment","1.79B","14.33","129.75M","-","-2.54%","-1.32%","Rating: Buy3.50","9.43%","30.04","",""
"2026-04-01","top_industrial","51","XPO","XPO, Inc.","198.71","2.14%","Rating: Buy4.44","Cargo Ground Transportation","22.79B","73.69","316.00M","-","-7.56%","50.50%","Rating: Sell2.33","8.20%","85.06","",""
"2026-04-01","top_industrial","52","ROAD","Construction Partners, Inc.","115.76","4.18%","Rating: Buy4.42","Construction and Engineering","6.28B","50.65","122.04M","-","-17.30%","-12.50%","Rating: Hold3.00","40.50%","64.79","",""
"2026-04-01","top_industrial","53","LGRDY","Legrand SA","32.16","4.00%","Rating: Buy4.42","Electrical Components and Equipment","39.79B","27.74","1.46B","1.62%","-14.59%","-6.61%","Rating: Hold3.00","13.71%","18.85","",""
"2026-04-01","top_industrial","54","SGSOY","SGS SA","10.71","3.68%","Rating: Buy4.40","Research and Consulting Services","20.31B","24.08","843.24M","3.98%","-17.90%","-0.19%","-Rating: Not Covered","11.94%","8.42","",""
"2026-04-01","top_industrial","55","AMSC","American Superconductor Corporation","33.53","-0.95%","Rating: Buy4.36","Electrical Components and Equipment","1.61B","10.86","130.49M","-","3.90%","-43.00%","Rating: Buy4.00","NM","13.98","",""
"2026-04-01","top_industrial","56","TILE","Interface, Inc.","25.54","2.49%","Rating: Buy4.35","Office Services and Supplies","1.44B","12.71","116.10M","0.48%","-20.86%","-13.89%","-Rating: Not Covered","9.76%","17.24","",""
"2026-04-01","top_industrial","57","DRTTF","Dirtt Environmental Solutions Ltd","0.56","-4.41%","Rating: Buy4.33","Building Products","113.95M","NM","-14.45M","-","-13.84%","1.74%","-Rating: Not Covered","29.03%","0.48","",""
"2026-04-01","top_industrial","58","IIIN","Insteel Industries Inc.","34.48","2.59%","Rating: Buy4.30","Building Products","651.91M","13.83","47.53M","3.33%","-9.84%","-12.34%","Rating: Buy4.00","40.30%","22.49","",""
"2026-04-01","top_industrial","59","KRMN","Karman Holdings Inc.","85.52","6.83%","Rating: Buy4.30","Aerospace and Defense","10.59B","615.77","17.37M","-","-9.15%","10.87%","Rating: Buy3.66","37.79%","25.03","",""
"2026-04-01","top_industrial","60","EXPO","Exponent, Inc.","65.90","1.00%","Rating: Buy4.26","Research and Consulting Services","3.21B","31.52","106.01M","1.90%","-10.35%","-6.09%","-Rating: Not Covered","8.27%","63.25","",""
"2026-04-01","top_industrial","61","FLS","Flowserve Corporation","76.38","3.90%","Rating: Buy4.24","Industrial Machinery & Supplies & Components","9.35B","27.84","346.25M","1.20%","-16.96%","38.33%","Rating: Buy3.50","16.01%","37.34","",""
"2026-04-01","top_industrial","62","LTM","LATAM Airlines Group S.A.","51.65","4.47%","Rating: Buy4.23","Passenger Airlines","14.11B","9.92","1.46B","2.83%","-11.97%","9.26%","Rating: Strong Buy5.00","14.59%","26.36","",""
"2026-04-01","top_industrial","63","ATS","ATS Corporation","29.58","4.89%","Rating: Buy4.22","Industrial Machinery & Supplies & Components","2.76B","204.38","13.81M","-","-11.74%","7.63%","Rating: Buy4.00","-1.93%","20.90","",""
"2026-04-01","top_industrial","64","DDD","3D Systems Corporation","1.90","1.06%","Rating: Buy4.21","Industrial Machinery & Supplies & Components","274.59M","10.09","29.88M","-","-2.59%","-35.17%","Rating: Buy3.50","NM","1.32","",""
"2026-04-01","top_industrial","65","CACI","CACI International Inc","564.84","3.86%","Rating: Buy4.16","Research and Consulting Services","12.01B","23.30","518.38M","-","-10.87%","9.04%","Rating: Buy4.00","15.91%","358.42","",""
"2026-04-01","top_industrial","66","SPXC","SPX Technologies, Inc.","205.08","2.57%","Rating: Buy4.15","Industrial Machinery & Supplies & Components","9.97B","39.51","244.00M","-","-11.90%","7.05%","Rating: Hold3.00","16.87%","115.00","",""
"2026-04-01","top_industrial","67","VWDRY","Vestas Wind Systems A/S","9.63","-3.45%","Rating: Buy4.15","Heavy Electrical Equipment","29.01B","32.52","914.00M","0.38%","18.05%","57.83%","-Rating: Not Covered","27.26%","3.96","",""
"2026-04-01","top_industrial","68","VVX","V2X, Inc.","70.09","2.32%","Rating: Buy4.14","Aerospace and Defense","2.14B","27.96","77.88M","-","-1.79%","17.92%","Rating: Strong Buy4.50","6.17%","42.09","",""
"2026-04-01","top_industrial","69","CAAP","Corporación América Airports S.A.","25.79","1.98%","Rating: Buy4.13","Airport Services","4.13B","16.64","247.72M","-","-11.26%","39.57%","Rating: Buy4.00","9.55%","15.01","",""
"2026-04-01","top_industrial","70","BDRBF","Bombardier Inc.","186.75","5.61%","Rating: Buy4.11","Aerospace and Defense","17.48B","18.79","928.00M","-","-14.31%","26.32%","Rating: Buy4.00","9.48%","50.77","",""
"2026-04-01","top_industrial","71","GNRC","Generac Holdings Inc.","200.81","2.81%","Rating: Buy4.11","Electrical Components and Equipment","11.46B","72.61","159.55M","-","-13.33%","16.68%","Rating: Buy4.00","10.19%","99.50","",""
"2026-04-01","top_industrial","72","SBLK","Star Bulk Carriers Corp.","23.62","2.83%","Rating: Buy4.08","Marine Transportation","2.56B","31.47","84.17M","6.44%","-12.63%","23.56%","Rating: Hold3.00","3.08%","12.06","",""
"2026-04-01","top_industrial","73","CMI","Cummins Inc.","556.06","3.35%","Rating: Buy4.06","Construction Machinery & Heavy Transportation Equipment","74.34B","26.24","2.84B","1.49%","-7.85%","27.38%","Rating: Hold3.33","10.43%","260.02","",""
"2026-04-01","top_industrial","74","TPC","Tutor Perini Corporation","80.22","3.93%","Rating: Buy4.05","Construction and Engineering","4.07B","51.12","80.44M","0.31%","2.41%","17.69%","Rating: Buy4.00","NM","18.34","",""
"2026-04-01","top_industrial","75","DAL","Delta Air Lines, Inc.","68.04","2.35%","Rating: Buy4.05","Passenger Airlines","43.18B","8.68","5.01B","1.13%","1.19%","17.15%","Rating: Buy3.66","4.97%","34.74","",""
"2026-04-01","top_industrial","76","WLDN","Willdan Group, Inc.","80.00","4.49%","Rating: Buy4.04","Research and Consulting Services","1.13B","21.94","52.56M","-","-14.11%","-20.82%","Rating: Buy4.33","23.23%","36.43","",""
"2026-04-01","top_industrial","77","SNCY","Sun Country Airlines Holdings, Inc.","17.08","3.36%","Rating: Buy4.02","Passenger Airlines","883.06M","17.21","52.81M","-","-16.06%","39.88%","Rating: Buy4.00","10.05%","8.10","",""
"2026-04-01","top_industrial","78","DY","Dycom Industries, Inc.","352.84","4.14%","Rating: Buy3.99","Construction and Engineering","10.15B","35.44","281.19M","-","-19.33%","16.13%","Rating: Buy4.00","24.56%","131.37","",""
