"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_materials","1","ALTO","Alto Ingredients, Inc.","5.85","7.25%","Rating: Strong Buy4.98","Specialty Chemicals","422.30M","15.00","29.29M","-","2.64%","113.73%","Rating: Buy4.33","NM","0.90","","","778164"
"2026-06-01","top_materials","2","CENX","Century Aluminum Company","65.70","-0.41%","Rating: Strong Buy4.93","Aluminum","6.53B","18.25","347.80M","-","11.85%","120.12%","Rating: Buy4.00","77.99%","16.59","","","949157"
"2026-06-01","top_materials","3","NEXA","Nexa Resources S.A.","16.11","6.41%","Rating: Strong Buy4.91","Diversified Metals and Mining","2.01B","9.54","210.08M","0.87%","6.92%","116.29%","Rating: Buy4.00","8.06%","4.44","","","1713930"
"2026-06-01","top_materials","4","SGML","Sigma Lithium Corporation","16.51","-1.55%","Rating: Strong Buy4.91","Diversified Metals and Mining","1.87B","NM","-43.78M","-","-23.00%","48.28%","Rating: Buy4.25","144.47%","4.25","","","1848309"
"2026-06-01","top_materials","5","CSTM","Constellium SE","34.37","0.31%","Rating: Strong Buy4.90","Aluminum","4.66B","11.13","435.00M","-","6.30%","103.81%","Rating: Buy4.33","15.75%","12.11","","","1563411"
"2026-06-01","top_materials","6","GLNCY","Glencore plc","15.76","3.98%","Rating: Strong Buy4.88","Diversified Metals and Mining","89.59B","254.90","363.00M","2.24%","0.13%","59.08%","Rating: Hold3.00","11.65%","7.40","","",""
"2026-06-01","top_materials","7","LYB","LyondellBasell Industries N.V.","67.24","1.94%","Rating: Strong Buy4.87","Commodity Chemicals","21.51B","NM","-797.00M","4.14%","-9.06%","36.05%","Rating: Hold3.42","3.59%","41.58","","","1489393"
"2026-06-01","top_materials","8","NHYDY","Norsk Hydro ASA ADR","12.43","1.68%","Rating: Strong Buy4.86","Aluminum","24.06B","38.11","632.10M","2.64%","10.23%","69.32%","Rating: Hold3.00","21.71%","5.37","","",""
"2026-06-01","top_materials","9","KALU","Kaiser Aluminum Corporation","186.81","2.62%","Rating: Strong Buy4.85","Aluminum","2.95B","19.84","153.40M","1.69%","5.52%","89.53%","Rating: Hold3.00","24.33%","71.44","","","811596"
"2026-06-01","top_materials","10","NUE","Nucor Corporation","251.62","0.65%","Rating: Strong Buy4.84","Steel","56.94B","24.78","2.33B","0.90%","12.42%","56.75%","Rating: Buy3.75","15.78%","115.35","","","73309"
"2026-06-01","top_materials","11","PKX","POSCO Holdings Inc.","69.74","-1.64%","Rating: Strong Buy4.74","Steel","21.12B","38.83","546.87M","2.38%","-7.21%","33.57%","Rating: Buy4.00","14.09%","44.01","","","889132"
"2026-06-01","top_materials","12","HBM","Hudbay Minerals Inc.","30.35","4.08%","Rating: Strong Buy4.73","Diversified Metals and Mining","11.61B","17.58","658.50M","0.10%","29.83%","71.93%","Rating: Buy3.50","34.24%","8.93","","","1322422"
"2026-06-01","top_materials","13","LUNMF","Lundin Mining Corporation","30.25","1.13%","Rating: Strong Buy4.73","Copper","25.55B","21.50","1.44B","0.27%","20.75%","59.73%","Rating: Buy4.00","16.18%","9.07","","",""
"2026-06-01","top_materials","14","CPAC","Cementos Pacasmayo S.A.A.","10.65","1.24%","Rating: Strong Buy4.70","Construction Materials","900.23M","17.20","52.42M","5.78%","-1.41%","57.01%","-Rating: Not Covered","5.93%","5.66","","","1221029"
