"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_quant","1","MU","Micron Technology, Inc.","1,042.14","7.33%","Rating: Strong Buy4.99","Semiconductors","1.10T","45.68","24.11B","0.06%","87.29%","310.61%","Rating: Buy3.60","156.46%","94.40","","","723125"
"2026-06-01","top_quant","2","SNDK","Sandisk Corporation","1,765.91","4.18%","Rating: Strong Buy4.99","Technology Hardware, Storage and Peripherals","251.01B","57.06","4.51B","-","59.27%","659.13%","Rating: Hold3.25","-","36.21","","","2023554"
"2026-06-01","top_quant","3","INTC","Intel Corporation","110.50","-3.64%","Rating: Strong Buy4.99","Semiconductors","576.38B","NM","-3.17B","-","21.03%","182.74%","Rating: Hold2.61","30.67%","18.97","","","50863"
"2026-06-01","top_quant","4","MXL","MaxLinear, Inc.","89.78","-3.39%","Rating: Strong Buy4.99","Semiconductors","8.32B","NM","-132.11M","-","37.63%","496.85%","Rating: Buy3.75","NM","11.26","","","1288469"
"2026-06-01","top_quant","5","BE","Bloom Energy Corporation","282.27","-0.96%","Rating: Strong Buy4.99","Heavy Electrical Equipment","81.07B","11,965.24","6.03M","-","-1.03%","160.89%","Rating: Buy3.50","116.30%","18.12","","","1664703"
"2026-06-01","top_quant","6","AMD","Advanced Micro Devices, Inc.","508.79","-1.42%","Rating: Strong Buy4.99","Semiconductors","841.55B","172.10","5.01B","-","53.10%","137.25%","Rating: Buy3.73","69.16%","111.01","","","2488"
"2026-06-01","top_quant","7","LITE","Lumentum Holdings Inc.","917.39","7.30%","Rating: Strong Buy4.99","Communications Equipment","66.52B","162.53","439.90M","-","-0.39%","162.94%","Rating: Buy3.92","154.27%","72.29","","","1633978"
"2026-06-01","top_quant","8","AXTI","AXT, Inc.","113.18","9.71%","Rating: Strong Buy4.98","Semiconductor Materials & Equipment","6.57B","NM","-14.08M","-","45.15%","864.11%","Rating: Hold2.66","NM","1.47","","","1051627"
"2026-06-01","top_quant","9","CIEN","Ciena Corporation","568.13","-2.09%","Rating: Strong Buy4.98","Communications Equipment","82.04B","368.91","229.05M","-","22.05%","184.13%","Rating: Buy3.85","55.55%","70.77","","","936395"
"2026-06-01","top_quant","10","RXT","Rackspace Technology, Inc.","5.51","6.58%","Rating: Strong Buy4.98","Internet Services and Infrastructure","1.29B","NM","-146.00M","-","251.70%","387.74%","Rating: Hold3.00","12.37%","0.39","","","1810019"
