"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","SA Analyst Ratings","Wall Street Ratings","Valuation","Growth","Profitability","Momentum","EPS Rev.","","","CIK"
"2026-06-01","top_rated_overall","1","MU","Micron Technology, Inc.","1,042.72","7.39%","Rating: Strong Buy4.99","Rating: Buy3.60","Rating: Strong Buy4.52","B+","A+","A+","A+","B","","","723125"
"2026-06-01","top_rated_overall","2","CRDO","Credo Technology Group Holding Ltd","233.97","-0.87%","Rating: Strong Buy4.95","Rating: Buy4.03","Rating: Strong Buy4.66","B","A+","A-","A-","B-","","","1807794"
"2026-06-01","top_rated_overall","3","PBR","Petróleo Brasileiro S.A. - Petrobras","18.85","0.40%","Rating: Strong Buy4.94","Rating: Buy3.90","Rating: Buy4.26","A-","B+","A+","B+","A+","","","1119639"
"2026-06-01","top_rated_overall","4","CNC","Centene Corporation","61.51","3.20%","Rating: Strong Buy4.92","Rating: Buy3.60","Rating: Buy3.55","A+","A+","A","A-","A+","","","1071739"
"2026-06-01","top_rated_overall","5","PBR.A","Petróleo Brasileiro S.A. - Petrobras","16.84","0.39%","Rating: Strong Buy4.92","Rating: Buy3.87","Rating: Buy4.45","A","A-","A+","B","B+","","","1119639"
"2026-06-01","top_rated_overall","6","CSTM","Constellium SE","34.35","0.26%","Rating: Strong Buy4.90","Rating: Buy4.33","Rating: Strong Buy4.60","B","B","B","A+","A+","","","1563411"
"2026-06-01","top_rated_overall","7","SEZL","Sezzle Inc.","120.97","2.39%","Rating: Strong Buy4.90","Rating: Strong Buy4.75","Rating: Buy4.33","A-","A+","A","A+","A-","","","1662991"
"2026-06-01","top_rated_overall","8","CLS","Celestica Inc.","402.57","4.46%","Rating: Strong Buy4.85","Rating: Buy4.10","Rating: Strong Buy4.71","B-","A","B+","B+","A-","","","1030894"
"2026-06-01","top_rated_overall","9","REPYY","Repsol, S.A.","26.38","2.17%","Rating: Strong Buy4.83","Rating: Buy4.00","Rating: Buy3.50","A-","B-","B+","A-","A-","","",""
"2026-06-01","top_rated_overall","10","XHR","Xenia Hotels & Resorts, Inc.","17.37","0.00%","Rating: Strong Buy4.82","Rating: Buy4.00","Rating: Buy4.33","B-","B","B+","A","A+","","","1616000"
"2026-06-01","top_rated_overall","11","DINO","HF Sinclair Corporation","71.63","2.49%","Rating: Strong Buy4.81","Rating: Buy4.00","Rating: Buy3.60","A-","A","B-","A-","B-","","","1915657"
"2026-06-01","top_rated_overall","12","SM","SM Energy Company","32.82","6.87%","Rating: Strong Buy4.80","Rating: Strong Buy4.66","Rating: Buy4.00","B-","B","A","A-","A-","","","893538"
"2026-06-01","top_rated_overall","13","FMX","Fomento Económico Mexicano, S.A.B. de C.V.","117.68","-1.13%","Rating: Strong Buy4.78","Rating: Buy4.00","Rating: Buy4.00","A-","A-","A","A","A+","","","1061736"
"2026-06-01","top_rated_overall","14","UNCRY","UniCredit S.p.A.","42.74","-0.21%","Rating: Strong Buy4.77","Rating: Buy4.00","Rating: Strong Buy5.00","B+","A-","A","B","B+","","",""
