"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-06-01","top_technology","1","MU","Micron Technology, Inc.","1,042.95","7.41%","Rating: Strong Buy4.99","Semiconductors","1.10T","45.68","24.11B","0.06%","87.29%","310.61%","Rating: Buy3.60","156.46%","94.40","",""
"2026-06-01","top_technology","2","SNDK","Sandisk Corporation","1,764.82","4.12%","Rating: Strong Buy4.99","Technology Hardware, Storage and Peripherals","251.01B","57.06","4.51B","-","59.27%","659.13%","Rating: Hold3.25","-","36.21","",""
"2026-06-01","top_technology","3","INTC","Intel Corporation","110.50","-3.64%","Rating: Strong Buy4.99","Semiconductors","576.38B","NM","-3.17B","-","21.03%","182.74%","Rating: Hold2.61","30.67%","18.97","",""
"2026-06-01","top_technology","4","MXL","MaxLinear, Inc.","89.83","-3.34%","Rating: Strong Buy4.99","Semiconductors","8.32B","NM","-132.11M","-","37.63%","496.85%","Rating: Buy3.75","NM","11.26","",""
"2026-06-01","top_technology","5","AMD","Advanced Micro Devices, Inc.","509.73","-1.23%","Rating: Strong Buy4.99","Semiconductors","841.55B","172.10","5.01B","-","53.10%","137.25%","Rating: Buy3.73","69.16%","111.01","",""
"2026-06-01","top_technology","6","LITE","Lumentum Holdings Inc.","916.62","7.21%","Rating: Strong Buy4.99","Communications Equipment","66.52B","162.53","439.90M","-","-0.39%","162.94%","Rating: Buy3.92","154.27%","72.29","",""
"2026-06-01","top_technology","7","AXTI","AXT, Inc.","112.78","9.33%","Rating: Strong Buy4.98","Semiconductor Materials & Equipment","6.57B","NM","-14.08M","-","45.15%","864.11%","Rating: Hold2.66","NM","1.47","",""
"2026-06-01","top_technology","8","CIEN","Ciena Corporation","568.86","-1.96%","Rating: Strong Buy4.98","Communications Equipment","82.04B","368.91","229.05M","-","22.05%","184.13%","Rating: Buy3.85","55.55%","70.77","",""
"2026-06-01","top_technology","9","RXT","Rackspace Technology, Inc.","5.51","6.58%","Rating: Strong Buy4.98","Internet Services and Infrastructure","1.29B","NM","-146.00M","-","251.70%","387.74%","Rating: Hold3.00","12.37%","0.39","",""
"2026-06-01","top_technology","10","NVTS","Navitas Semiconductor Corporation","24.80","-6.77%","Rating: Strong Buy4.98","Semiconductors","6.39B","NM","-133.91M","-","71.83%","204.35%","Rating: Hold3.25","NM","4.99","",""
"2026-06-01","top_technology","11","NBIS","Nebius Group N.V.","268.97","16.39%","Rating: Strong Buy4.98","Systems Software","59.17B","79.90","817.20M","-","63.67%","143.59%","Rating: Buy4.03","NM","34.72","",""
"2026-06-01","top_technology","12","NLST","Netlist, Inc.","3.28","7.07%","Rating: Strong Buy4.97","Electronic Manufacturing Services","981.61M","NM","-6.69M","-","43.83%","387.81%","-Rating: Not Covered","-","0.45","",""
"2026-06-01","top_technology","13","TSEM","Tower Semiconductor Ltd.","245.97","-3.63%","Rating: Strong Buy4.97","Semiconductors","28.77B","118.19","245.36M","-","28.14%","136.08%","Rating: Buy4.00","31.39%","37.48","",""
"2026-06-01","top_technology","14","FLEX","Flex Ltd.","148.14","-1.75%","Rating: Strong Buy4.97","Electronic Manufacturing Services","55.24B","64.71","880.00M","-","66.42%","155.08%","Rating: Hold2.66","28.14%","41.43","",""
"2026-06-01","top_technology","15","VIAV","Viavi Solutions Inc.","47.50","-2.18%","Rating: Strong Buy4.97","Communications Equipment","11.90B","NM","-55.10M","-","6.65%","170.68%","Rating: Hold3.00","44.60%","8.94","",""
"2026-06-01","top_technology","16","POET","POET Technologies Inc.","13.62","10.82%","Rating: Strong Buy4.97","Semiconductors","2.12B","NM","-81.65M","-","86.21%","148.28%","Rating: Hold3.13","-","3.87","",""
"2026-06-01","top_technology","17","TTMI","TTM Technologies, Inc.","172.14","-0.91%","Rating: Strong Buy4.97","Electronic Manufacturing Services","18.04B","94.47","195.26M","-","26.34%","147.53%","Rating: Hold2.75","33.89%","29.48","",""
"2026-06-01","top_technology","18","ASX","ASE Technology Holding Co., Ltd.","38.31","-0.10%","Rating: Strong Buy4.96","Semiconductors","85.30B","60.09","1.48B","0.93%","25.37%","156.52%","Rating: Buy3.50","35.00%","9.26","",""
"2026-06-01","top_technology","19","PENG","Penguin Solutions, Inc.","60.30","8.01%","Rating: Strong Buy4.96","Semiconductors","2.83B","79.90","54.81M","-","95.83%","175.98%","Rating: Hold3.00","16.22%","16.04","",""
"2026-06-01","top_technology","20","ASYS","Amtech Systems, Inc.","21.01","-1.22%","Rating: Strong Buy4.96","Semiconductor Materials & Equipment","308.40M","124.76","2.45M","-","28.36%","170.96%","Rating: Buy3.50","67.69%","3.90","",""
"2026-06-01","top_technology","21","UCTT","Ultra Clean Holdings, Inc.","83.83","-2.03%","Rating: Strong Buy4.96","Semiconductor Materials & Equipment","3.84B","NM","-194.10M","-","18.83%","237.42%","Rating: Hold3.00","19.05%","19.17","",""
"2026-06-01","top_technology","22","HIMX","Himax Technologies, Inc.","22.45","9.14%","Rating: Strong Buy4.95","Semiconductors","3.59B","112.32","31.94M","1.23%","79.65%","172.09%","Rating: Hold3.00","24.70%","6.85","",""
"2026-06-01","top_technology","23","ON","ON Semiconductor Corporation","120.14","-0.40%","Rating: Strong Buy4.95","Semiconductors","47.27B","85.35","573.70M","-","22.01%","140.09%","Rating: Hold2.66","0.57%","41.49","",""
"2026-06-01","top_technology","24","CRDO","Credo Technology Group Holding Ltd","234.02","-0.85%","Rating: Strong Buy4.95","Semiconductors","43.54B","129.48","339.77M","-","34.28%","32.90%","Rating: Buy4.03","317.51%","59.88","",""
"2026-06-01","top_technology","25","ICHR","Ichor Holdings, Ltd.","70.15","-1.92%","Rating: Strong Buy4.95","Semiconductor Materials & Equipment","2.49B","NM","-50.69M","-","12.22%","325.71%","Rating: Strong Buy4.50","52.55%","13.12","",""
"2026-06-01","top_technology","26","RFIL","RF Industries, Ltd.","17.35","-1.92%","Rating: Strong Buy4.94","Electronic Manufacturing Services","191.30M","711.41","270.00K","-","33.71%","184.41%","Rating: Buy3.50","129.41%","3.98","",""
"2026-06-01","top_technology","27","ONDS","Ondas Inc.","13.40","1.36%","Rating: Strong Buy4.94","Communications Equipment","6.55B","30.22","243.37M","-","39.30%","67.34%","Rating: Buy3.88","NM","1.26","",""
"2026-06-01","top_technology","28","FORM","FormFactor, Inc.","118.60","-4.81%","Rating: Strong Buy4.94","Semiconductor Materials & Equipment","9.71B","143.23","68.34M","-","-8.07%","126.44%","Rating: Strong Buy5.00","32.43%","26.08","",""
"2026-06-01","top_technology","29","OSS","One Stop Systems, Inc.","19.61","7.87%","Rating: Strong Buy4.94","Technology Hardware, Storage and Peripherals","450.30M","NM","6.59M","-","106.83%","198.52%","Rating: Buy4.00","NM","2.69","",""
"2026-06-01","top_technology","30","SILC","Silicom Ltd.","39.68","-1.54%","Rating: Strong Buy4.93","Communications Equipment","229.96M","NM","-11.04M","-","43.26%","168.67%","Rating: Strong Buy4.50","-","13.34","",""
"2026-06-01","top_technology","31","BB","BlackBerry Limited","9.68","7.56%","Rating: Strong Buy4.93","Systems Software","5.25B","99.78","53.20M","-","67.29%","120.59%","Rating: Buy4.00","19.38%","3.12","",""
"2026-06-01","top_technology","32","HPE","Hewlett Packard Enterprise Company","45.61","5.97%","Rating: Strong Buy4.93","Technology Hardware, Storage and Peripherals","57.11B","NM","-118.00M","1.32%","52.08%","96.80%","Rating: Buy4.16","11.24%","17.03","",""
"2026-06-01","top_technology","33","SMTC","Semtech Corporation","148.82","-2.44%","Rating: Strong Buy4.92","Semiconductors","14.21B","NM","-33.16M","-","55.19%","105.69%","Rating: Hold3.00","34.10%","36.10","",""
"2026-06-01","top_technology","34","MRAM","Everspin Technologies, Inc.","30.48","15.54%","Rating: Strong Buy4.92","Semiconductors","618.55M","2,993.65","284.00K","-","100.00%","228.93%","Rating: Hold3.00","37.54%","5.52","",""
"2026-06-01","top_technology","35","APPS","Digital Turbine, Inc.","9.38","6.83%","Rating: Strong Buy4.90","Application Software","1.06B","NM","-37.73M","-","160.53%","83.30%","Rating: Hold3.00","34.52%","2.74","",""
"2026-06-01","top_technology","36","COHU","Cohu, Inc.","53.37","1.18%","Rating: Strong Buy4.90","Semiconductor Materials & Equipment","2.49B","NM","-55.54M","-","17.98%","116.90%","Rating: Hold3.00","164.24%","16.95","",""
"2026-06-01","top_technology","37","FATN","FatPipe, Inc.","7.48","-6.07%","Rating: Strong Buy4.90","Application Software","111.63M","22.74","4.97M","-","220.97%","181.27%","-Rating: Not Covered","-","1.31","",""
"2026-06-01","top_technology","38","SYNA","Synaptics Incorporated","135.42","-1.35%","Rating: Strong Buy4.89","Semiconductors","5.30B","NM","-48.10M","-","55.05%","100.38%","Rating: Hold3.00","21.32%","58.06","",""
"2026-06-01","top_technology","39","SANM","Sanmina Corporation","264.08","1.67%","Rating: Strong Buy4.89","Electronic Manufacturing Services","13.92B","55.02","259.61M","-","24.47%","66.32%","Rating: Buy3.60","33.82%","84.00","",""
"2026-06-01","top_technology","40","DIOD","Diodes Incorporated","102.95","-2.25%","Rating: Strong Buy4.89","Semiconductors","4.84B","56.92","85.54M","-","4.28%","127.92%","Rating: Hold3.00","-","42.28","",""
"2026-06-01","top_technology","41","ARW","Arrow Electronics, Inc.","214.65","0.01%","Rating: Strong Buy4.88","Technology Distributors","10.97B","15.36","726.65M","-","15.40%","98.71%","Rating: Hold3.00","17.96%","101.79","",""
"2026-06-01","top_technology","42","CEVA","CEVA, Inc.","44.37","10.98%","Rating: Strong Buy4.88","Semiconductors","1.11B","NM","-11.77M","-","46.13%","85.18%","Rating: Hold3.00","25.41%","17.02","",""
"2026-06-01","top_technology","43","QTRHF","Quarterhill Inc.","1.51","-2.71%","Rating: Strong Buy4.88","Communications Equipment","186.20M","NM","-51.29M","-","44.86%","133.66%","-Rating: Not Covered","376.94%","0.64","",""
"2026-06-01","top_technology","44","LNVGY","Lenovo Group Limited","66.48","7.92%","Rating: Strong Buy4.87","Technology Hardware, Storage and Peripherals","37.99B","22.02","1.91B","2.79%","105.43%","146.70%","Rating: Buy4.00","13.49%","21.00","",""
"2026-06-01","top_technology","45","TWLO","Twilio Inc.","223.23","17.10%","Rating: Strong Buy4.87","Internet Services and Infrastructure","28.93B","290.88","103.96M","-","35.29%","47.00%","Rating: Hold3.20","14.92%","91.84","",""
"2026-06-01","top_technology","46","INTT","InTest Corporation","16.79","-0.33%","Rating: Strong Buy4.86","Semiconductor Materials & Equipment","209.85M","416.03","591.00K","-","0.48%","108.93%","-Rating: Not Covered","10.22%","6.09","",""
"2026-06-01","top_technology","47","PDFS","PDF Solutions, Inc.","51.89","6.27%","Rating: Strong Buy4.86","Semiconductor Materials & Equipment","2.04B","269.36","7.18M","-","22.08%","80.18%","Rating: Hold3.00","-","17.43","",""
"2026-06-01","top_technology","48","CLS","Celestica Inc.","402.80","4.52%","Rating: Strong Buy4.85","Electronic Manufacturing Services","44.44B","46.80","958.60M","-","2.35%","11.90%","Rating: Buy4.10","52.97%","112.74","",""
