"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_utility","1","SSEZF","SSE plc","33.06","-2.77%","Rating: Strong Buy4.65","Electric Utilities","37.85B","22.50","1.70B","1.73%","-6.46%","8.49%","-Rating: Not Covered","12.07%","21.95","","",""
"2026-06-01","top_utility","2","ENIC","Enel Chile S.A.","4.30","-0.81%","Rating: Strong Buy4.59","Electric Utilities","6.01B","11.44","525.44M","7.11%","0.00%","12.47%","-Rating: Not Covered","23.04%","3.10","","","1659939"
"2026-06-01","top_utility","3","NGG","National Grid plc","79.96","-1.93%","Rating: Strong Buy4.58","Multi-Utilities","80.11B","18.66","4.29B","5.33%","-5.18%","7.12%","Rating: Hold3.00","11.51%","67.52","","","1004315"
"2026-06-01","top_utility","4","NWN","Northwest Natural Holding Company","47.67","-1.69%","Rating: Buy4.23","Gas Utilities","2.04B","16.29","122.89M","4.06%","-8.72%","-1.98%","Rating: Hold3.00","17.12%","39.25","","","1733998"
"2026-06-01","top_utility","5","AEP","American Electric Power Company, Inc.","124.37","-1.82%","Rating: Buy4.09","Electric Utilities","68.92B","18.75","3.65B","3.00%","-5.78%","2.34%","Rating: Hold3.25","12.54%","100.72","","","4904"
"2026-06-01","top_utility","6","ESOCF","Enel SpA","11.70","0.00%","Rating: Buy3.95","Electric Utilities","112.66B","25.72","4.71B","4.61%","0.73%","12.83%","Rating: Buy4.00","5.00%","8.77","","",""
"2026-06-01","top_utility","7","ED","Consolidated Edison, Inc.","104.22","-1.34%","Rating: Buy3.92","Multi-Utilities","38.93B","17.72","2.16B","3.36%","-2.98%","5.25%","Rating: Hold3.00","9.44%","94.96","","","1047862"
"2026-06-01","top_utility","8","BIP","Brookfield Infrastructure Partners L.P. Limited Partnership Units","39.37","0.83%","Rating: Buy3.86","Multi-Utilities","18.08B","59.02","337.00M","4.66%","12.12%","8.17%","Rating: Hold3.33","8.24%","29.63","","","1406234"
"2026-06-01","top_utility","9","NJR","New Jersey Resources Corporation","53.85","-2.53%","Rating: Buy3.83","Gas Utilities","5.58B","16.34","341.42M","3.44%","-0.27%","14.91%","Rating: Buy4.00","8.52%","43.46","","","356309"
"2026-06-01","top_utility","10","TLN","Talen Energy Corporation","376.08","-2.77%","Rating: Buy3.64","Independent Power Producers and Energy Traders","17.56B","NM","-21.00M","-","9.91%","-1.89%","Rating: Buy4.33","47.55%","240.90","","","1622536"
"2026-06-01","top_utility","11","NI","NiSource Inc.","45.32","-1.95%","Rating: Buy3.60","Multi-Utilities","22.16B","22.89","961.80M","2.60%","-4.07%","4.74%","Rating: Buy4.00","13.45%","38.45","","","1111711"
"2026-06-01","top_utility","12","AEE","Ameren Corporation","105.47","-2.32%","Rating: Buy3.56","Multi-Utilities","29.88B","19.43","1.52B","2.78%","-2.98%","1.52%","Rating: Hold3.00","12.74%","93.50","","","1002910"
"2026-06-01","top_utility","13","DNNGY","Ørsted A/S","8.57","1.06%","Rating: Buy3.55","Renewable Electricity","33.84B","NM","26.15M","-","-0.89%","20.80%","Rating: Strong Buy4.50","4.13%","5.75","","",""
"2026-06-01","top_utility","14","WEC","WEC Energy Group, Inc.","109.64","-1.27%","Rating: Buy3.54","Multi-Utilities","36.17B","22.12","1.64B","3.43%","-3.02%","-0.91%","Rating: Hold3.00","12.00%","102.49","","","783325"
"2026-06-01","top_utility","15","FOJCY","Fortum Oyj","4.65","-0.11%","Rating: Buy3.54","Electric Utilities","20.99B","22.06","951.23M","3.74%","-5.53%","13.95%","-Rating: Not Covered","0.22%","3.27","","",""
"2026-06-01","top_utility","16","OTTR","Otter Tail Corporation","83.20","-3.99%","Rating: Buy3.52","Electric Utilities","3.64B","13.01","280.40M","2.67%","-1.70%","5.43%","-Rating: Not Covered","-2.34%","74.15","","","1466593"
"2026-06-01","top_utility","17","ENLT","Enlight Renewable Energy Ltd","104.63","-2.60%","Rating: Hold3.48","Renewable Electricity","15.01B","239.32","61.72M","-","22.15%","168.42%","-Rating: Not Covered","46.26%","18.22","","","1922641"
"2026-06-01","top_utility","18","ENGIY","Engie SA","31.12","0.65%","Rating: Hold3.42","Multi-Utilities","75.10B","17.41","4.50B","3.90%","-6.76%","21.35%","Rating: Hold3.00","5.39%","20.18","","",""
"2026-06-01","top_utility","19","XIFR","XPLR Infrastructure, LP Common Units","12.28","-1.60%","Rating: Hold3.41","Renewable Electricity","1.18B","9.86","103.00M","-","22.11%","30.95%","Rating: Buy4.00","-2.64%","7.99","","","1603145"
"2026-06-01","top_utility","20","CIG","Companhia Energética de Minas Gerais - CEMIG","2.11","-2.09%","Rating: Hold3.37","Electric Utilities","7.09B","6.53","934.00M","8.88%","-12.24%","1.42%","Rating: Buy4.00","4.53%","1.79","","","1157557"
