Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ACIW","ACI Worldwide","Computer - Software","44.54","0.00%","1.55%","6.12%","-0.31%","-0.26%","-14.29","4,445.21","13.75","NA","12.72%","NA","Apr 30,2026","C","B","B","B","1.48%","2.53"
"ACCO","Acco Brands","Consumer Products - Discretionary","4.08","7.59%","19.33%","37.15%","0.00%","0.00%","140","364.42","4.7",".47","0.00%","10.00%","Apr 02,2026","A","D","B","B","23.05%",".23"
"TIC","Acuren Corporation","Technology Services","9.55","0.00%","8.82%","34.96%","0.00%","0.00%","-208.33","2,073.38","20.39","NA","355.56%","NA","Mar 13,2026","C","D","D","D","2.63%","1.35"
"FENC","Adherex Technologies","Medical - Biomedical and Genetics","6.82","0.00%","-4.39%","1.87%","-28.10%","-2.01%","-466.67","225.90","30.07","NA","178.57%","NA","Mar 26,2026","D","D","C","F","0.77%","5.06"
"ADV","Advantage Solutions","Consumer Products - Discretionary","38.20","0.00%","10.69%","69.93%","0.00%","0.00%","120","484.19","5.74","NA","22.67%","NA","Apr 25,2026","A","A","F","A","7.85%",".14"
"AVAV","AeroVironment","Aerospace - Defense Equipment","179.85","0.00%","-5.76%","0.33%","0.00%","0.00%","-5.88","9,236.29","49.54","2.54","-10.37%","19.52%","Mar 05,2026","F","F","A","F","-5.15%","5.74"
"EADSY","Airbus SE - Unsponsored ADR","Aerospace - Defense Equipment","51.95","1.40%","5.61%","8.38%","0.48%","-1.61%","-12","163,341.66","24.67","1.97","12.30%","12.55%","May 02,2026","C","B","B","B","0.52%","1.94"
"AISP","Airship AI Holdings, Inc.","Technology Services","2.54","0.00%","-3.17%","8.44%","-80.00%","-33.33%","0","83.87","244","NA","105.56%","NA","Apr 28,2026","D","F","C","F","8.93%","5.47"
"AKBA","Akebia Therapeutics","Medical - Drugs","1.51","0.00%","-2.10%","1.45%","-46.67%","-56.52%","-66.67","375.55","52.5","NA","250.00%","NA","Apr 28,2026","B","A","C","A","1.45%","1.59"
"BABA","Alibaba","Internet - Commerce","135.10","0.72%","-3.18%","7.74%","-3.64%","-2.63%","-47.12","315,474.88","18.41","2.13","-44.17%","8.64%","Mar 27,2026","D","D","D","F","-0.29%","2.21"
"AMR","Alpha Metallurgical Resources","Mining - Miscellaneous","181.22","0.00%","-2.60%","-12.87%","-35.00%","-26.64%","0","2,330.48","15.22","NA","352.21%","NA","May 02,2026","C","D","F","D","-2.19%","1.09"
"AMAL","Amalgamated Financial","Financial - SBIC & Commercial Industry","41.09","1.64%","2.10%","4.92%","-3.45%","-1.75%","-15.79","1,234.01","10.55","NA","7.69%","NA","May 02,2026","C","F","B","D","1.13%","2.63"
"AMBQ","Ambiq Micro, Inc.","Electronics - Semiconductors","40.76","0.00%","13.84%","41.57%","0.86%","2.24%","17.95","862.93","NA","NA","34.35%","NA","Mar 14,2026","F","F","A","F","7.76%","11.9"
"APEMY","Aperam","Steel - Producers","55.00","4.17%","-1.05%","22.42%","0.00%","0.00%","NA","3,512.86","26.23","NA","1,120.00%","NA","May 01,2026","C","D","C","C","0.00%",".51"
"ABR","Arbor Realty Trust","REIT and Equity Trust","7.97","15.13%","-0.50%","5.73%","0.00%","-5.02%","-9.52","1,525.42","9.59","NA","-22.43%","NA","May 02,2026","C","F","A","D","0.38%","1.62"
"ACA","Arcosa","Building Products - Miscellaneous","128.04","0.16%","4.45%","15.84%","-14.15%","-8.70%","292.31","6,125.54","30.47","1.9","-8.28%","16.00%","Apr 29,2026","D","C","F","D","-1.35%","2.17"
"ARVN","Arvinas","Medical - Biomedical and Genetics","10.79","0.00%","0.67%","-3.13%","0.00%","0.00%","-100","672.23","NA","NA","-185.96%","NA","Apr 28,2026","F","D","C","F","6.16%","2.56"
"AAWH","Ascend Wellness Holdings, Inc.","Medical Services","0.55","0.00%","3.79%","17.04%","2.02%","-3.66%","-33.33","111.27","NA","NA","36.00%","NA","Apr 04,2026","B","B","A","A","NA",".22"
"ASBFY","Associated British Foods","Food - Miscellaneous","25.12","3.97%","0.24%","-0.24%","-1.83%","-6.56%","NA","17,855.10","11.65","NA","-5.70%","NA","May 02,2026","A","B","B","A","-0.02%","NA"
"CAR","Avis Budget Group","Transportation - Services","172.53","0.00%","-9.04%","-2.56%","6.17%","-0.31%","-17.45","6,554.55","47.95","NA","136.75%","NA","May 02,2026","B","A","A","A","2.70%",".56"
