Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ATEN","A10 Networks","Internet - Software","27.15","0.89%","-2.58%","11.92%","3.45%","3.04%","9.09","1,925.79","25.57","NA","16.67%","NA","May 02,2026","F","C","A","D","0.64%","6.43"
"ASX","ASE Technology","Electronics - Semiconductors","32.38","0.83%","-1.28%","41.79%","36.36%","NA","5","70,240.84","30.09",".63","84.21%","47.66%","May 02,2026","D","B","A","B","0.57%","3.23"
"PRG","Prog Holdings","Financial - Consumer Loans","36.42","1.55%","15.15%","28.42%","8.00%","3.10%","58.97","1,432.25","7.96","NA","29.63%","NA","May 02,2026","A","A","D","A","1.00%",".57"
"AER","Aercap","Transportation - Equipment and Leasing","138.87","1.14%","2.07%","1.26%","5.96%","3.77%","50.14","23,519.58","8.66","1.04","5.86%","8.30%","May 02,2026","B","C","A","A","-0.89%","2.71"
"CENX","Century Aluminum","Metal Products - Procurement and Fabrication","59.31","0.00%","-2.90%","-5.74%","53.27%","95.14%","-98.4","5,837.49","5.73","NA","2,352.38%","NA","May 02,2026","D","F","B","F","-0.77%","2.31"
"CRGY","Crescent Energy Company","Alternative Energy - Other","13.62","3.57%","5.73%","0.15%","14.34%","20.48%","75","4,413.54","6.36","NA","17.78%","NA","May 02,2026","A","D","C","B","0.07%","1.23"
"ETSY","Etsy","Internet - Commerce","65.31","0.00%","0.61%","22.33%","8.45%","8.27%","43.55","5,994.60","17.01","2.59","166.91%","6.57%","May 02,2026","D","A","A","B","-1.82%","2.09"
"FORM","FormFactor","Electronics - Semiconductors","134.58","0.00%","-11.42%","33.16%","6.02%","0.00%","24.44","10,708.60","71.98","NA","46.92%","NA","May 02,2026","F","A","A","C","1.06%","12.75"
"HGV","Hilton Grand Vacations","Hotels and Motels","45.88","0.00%","-0.41%","13.46%","2.62%","3.77%","125","3,733.03","12.14",".62","81.73%","19.73%","May 02,2026","A","C","C","A","-2.19%",".72"
"KHNGY","Kuehne & Nagel International","Transportation - Services","44.43","2.62%","-0.54%","0.97%","8.28%","3.20%","20.45","28,522.04","22.11","3.75","19.55%","5.90%","May 02,2026","D","C","B","C","0.64%",".96"
"LYB","LyondellBasell Industries","Chemical - Diversified ","75.56","3.68%","7.33%","-5.79%","51.78%","19.53%","58.06","24,204.47","13.79",".26","220.00%","52.67%","May 02,2026","C","C","D","C","0.52%",".82"
"NHYDY","Norsk Hydro ASA","Mining - Miscellaneous","11.47","1.36%","-2.61%","5.66%","56.58%","55.50%","23.53","22,178.86","9.42",".74","147.92%","12.68%","May 02,2026","A","B","C","A","-0.97%","1.1"
"OMCL","Omnicell","Medical Info Systems","43.49","0.00%","14.53%","25.33%","10.95%","3.14%","66.67","1,946.43","21.67",".73","22.22%","29.62%","May 02,2026","C","B","A","B","3.33%","1.59"
"PHIN","PHINIA Inc.","Automotive - Original Equipment","75.44","1.62%","0.45%","7.87%","7.07%","3.12%","40.22","2,783.62","11.64","NA","28.23%","NA","May 02,2026","A","B","B","A","2.59%",".78"
"RELY","Remitly Global","Financial Transaction Services","23.70","0.00%","8.11%","42.26%","0.65%","0.92%","850","4,794.03","44.4",".8","59.38%","55.28%","May 02,2026","D","A","D","B","4.11%","2.93"
"REI","Ring Energy","Oil and Gas - Exploration and Production - United States","1.83","0.00%","19.74%","22.15%","227.78%","113.89%","100","381.10","6.17","NA","57.89%","NA","May 02,2026","A","F","C","C","-3.19%","1.24"
"STX","Seagate Technology","Computer - Integrated Systems","740.43","0.41%","24.00%","69.31%","15.26%","34.35%","17.14","162,998.78","48.81","NA","83.83%","NA","May 02,2026","F","A","A","D","7.91%","14.8"
"SIMO","Silicon Motion Technology","Computer - Integrated Systems","228.80","0.85%","52.82%","105.90%","35.02%","23.52%","20.61","7,969.85","30.01",".72","120.00%","41.64%","May 02,2026","F","B","A","C","7.19%","7.51"
"CHEF","The Chef's Warehouse","Food - Miscellaneous","78.57","0.00%","20.41%","36.88%","8.22%","7.74%","73.91","3,214.50","33.26","NA","24.74%","NA","May 02,2026","D","B","B","B","1.59%",".75"
"UCTT","Ultra Clean","Electronics - Manufacturing Machinery","73.75","0.00%","-10.12%","18.13%","23.68%","1.43%","14.81","3,344.64","31.75",".91","123.81%","35.00%","May 02,2026","D","F","A","F","-4.53%","1.62"
"CECO","CECO Environmental","Pollution Control","76.50","0.00%","14.51%","19.49%","14.76%","15.27%","200","2,665.37","42.78","NA","95.51%","NA","May 01,2026","D","F","D","F","0.22%","3.32"
"CLS","Celestica","Electronics - Manufacturing Services","411.61","0.00%","2.13%","42.09%","11.52%","13.66%","3.85","48,165.68","42.54",".94","62.81%","45.25%","May 01,2026","D","A","A","B","2.28%","3.49"
"CBNA","Chain Bridge Bancorp, Inc.","Banks - Northeast","36.96","0.00%","7.55%","8.17%","7.77%","7.98%","13.68","247.71","7.66","NA","60.06%","NA","May 01,2026","D","F","A","F","1.59%","4.01"
"FMX","Fomento Economico Mexicano","Beverages - Soft drinks","121.27","1.99%","5.49%","4.56%","6.80%","3.39%","41.54","41,454.43","24.65",".82","81.72%","29.94%","May 01,2026","B","A","D","A","1.46%",".9"
"PII","Polaris","Automotive - Domestic","63.87","4.10%","10.63%","22.91%","3.37%","2.42%","130.23","3,778.38","38.71","NA","17,300.00%","NA","May 01,2026","D","B","F","D","0.23%",".52"
"SANM","Sanmina","Electronics - Manufacturing Services","220.64","0.00%","16.19%","71.47%","10.08%","5.30%","30.58","11,966.77","19.9",".71","85.76%","27.84%","May 01,2026","C","A","A","A","2.50%","1.06"
"SSRM","Silver Standard Resources","Mining - Miscellaneous","29.04","0.00%","-4.45%","-7.57%","5.56%","0.55%","49.15","6,320.00","7.43",".41","95.52%","17.96%","May 01,2026","C","C","C","C","1.32%","3.88"
"COCO","Vita Coco Company","Beverages - Soft drinks","67.05","0.00%","32.47%","38.37%","11.37%","8.17%","47.06","3,812.27","37.87","1.6","47.90%","23.66%","May 01,2026","F","F","A","F","1.15%","5.79"
"ABBNY","ABB","Manufacturing - Electronics","100.95","0.73%","1.60%","22.86%","19.09%","3.16%","-7.59","184,138.59","26.64","1.54","52.21%","17.25%","Apr 30,2026","F","D","C","F","0.54%","5.15"
"BG","BUNGE GLOBAL SA","Agriculture - Products","127.01","2.25%","-0.23%","-3.72%","9.06%","5.21%","88.66","24,176.60","13.96","NA","17.97%","NA","Apr 30,2026","B","F","A","D","-1.94%",".3"
"DK","Delek US Holdings","Oil and Gas - Refining and Marketing","47.10","2.18%","17.83%","3.80%","119.65%","79.88%","105.13","2,863.97","12.77",".43","-44.55%","29.43%","Apr 30,2026","A","A","A","A","0.30%",".27"
"FANG","Diamondback Energy","Oil and Gas - Exploration and Production - United States","210.97","2.02%","6.60%","7.10%","27.67%","12.77%","-7.45","58,414.38","11.02","NA","40.91%","NA","Apr 30,2026","D","D","C","D","0.98%","3.89"
"MURGY","Mnchener RckversicherungsGesellschaft","Insurance - Multi line","11.99","2.11%","-4.01%","-1.00%","274.07%","275.54%","0","79,873.81","2.85",".49","309.35%","5.78%","Apr 30,2026","A","D","A","B","-0.29%","1.17"
"NTOIY","Neste OYJ - Unsponsored ADR","Oil and Gas - Refining and Marketing","17.64","0.20%","9.92%","10.13%","47.44%","63.93%","60","26,481.36","14.99",".29","945.45%","52.48%","Apr 30,2026","C","A","C","A","-0.61%","1.19"
"RWEOY","RWE AG","Utility - Electric Power","71.51","1.20%","3.94%","7.59%","15.87%","1.86%","42.37","53,287.01","20.11","1.82","29.89%","11.05%","Apr 30,2026","C","C","B","B","0.78%","2.7"
"TAL","TAL Education Group","Schools","11.00","0.00%","-0.62%","-0.27%","33.71%","34.40%","104.55","6,801.71","9.49",".7","19.19%","13.62%","Apr 30,2026","D","F","B","F","0.45%","2.26"
"TER","Teradyne","Electronics - Miscellaneous Products","343.14","0.15%","-17.38%","11.57%","16.16%","16.63%","21.33","54,078.76","49.02","1.43","78.03%","34.29%","Apr 30,2026","F","B","A","D","0.57%","14.28"
"ASMIY","ASM International","Semiconductor - Communications ","980.78","0.29%","-3.99%","25.74%","31.32%","25.73%","19.29","47,806.15","37.44","NA","53.47%","NA","Apr 29,2026","F","D","A","F","0.34%","12.9"
"ALHC","Alignment Healthcare","Medical Services","20.02","0.00%","-4.12%","8.00%","0.00%","1.30%","400","4,188.36","157.87","4.16","NA","37.98%","Apr 29,2026","D","A","C","B","-10.12%",".98"
"FIX","Comfort Systems USA","Building Products - Air Conditioner and Heating","1,880.84","0.15%","8.16%","31.74%","22.73%","25.28%","46.18","65,723.63","43.39","NA","49.00%","NA","Apr 29,2026","F","B","B","D","1.45%","6.48"
"DOW","Dow","Chemical - Diversified ","40.43","3.47%","4.22%","-2.68%","29,766.98%","105.87%","64.1","29,038.67","17",".3","352.13%","55.96%","Apr 29,2026","C","C","B","B","-0.49%",".74"
"MYFW","First Western Financial","Banks - Midwest","28.64","0.00%","8.18%","14.70%","15.09%","7.92%","43.18","277.94","11.7","NA","80.74%","NA","Apr 29,2026","D","F","A","F","0.85%","1.47"
"KMI","Kinder Morgan","Oil and Gas - Production and Pipelines","32.26","3.60%","2.49%","-1.33%","2.65%","1.06%","26.32","72,373.59","22.64","2.89","10.77%","7.83%","Apr 29,2026","D","C","F","F","-1.03%","4.13"
"MSBI","Midland States Bancorp","Banks - Northeast","26.09","4.85%","5.56%","14.74%","24.84%","19.39%","31.67","566.49","8.33","NA","86.47%","NA","Apr 29,2026","B","D","A","B","1.46%","1.21"
"MUSA","Murphy USA","Retail - Convenience Stores","592.31","0.42%","12.35%","18.81%","14.25%","4.70%","35.57","11,043.12","20.12","2.14","23.07%","9.42%","Apr 29,2026","D","A","A","A","1.52%",".56"
"NATL","NCR Atleos Corporation","Internet - Software","44.59","0.00%","-0.04%","1.88%","0.00%","0.00%","12.88","3,283.42","8.97","NA","20.34%","NA","Apr 29,2026","A","B","F","B","0.32%",".75"
"NKSH","National Bankshares","Banks - Southeast","36.83","4.29%","2.10%","0.05%","15.25%","NA","20","231.81","11.2","NA","23.57%","NA","Apr 29,2026","D","F","A","D","1.69%","2.69"
"SXT","Sensient Technologies","Chemical - Specialty","114.80","1.45%","-8.30%","22.31%","5.41%","3.33%","30","4,805.32","28.96","NA","12.07%","NA","Apr 29,2026","F","F","A","F","-0.62%","2.9"
"SHBI","Shore Bancshares","Banks - Northeast","19.52","2.46%","2.09%","3.39%","2.54%","0.69%","22.22","652.29","9.68","NA","2.54%","NA","Apr 29,2026","B","D","B","C","1.04%","1.89"
"WST","West Pharmaceutical Services","Medical - Dental Supplies","299.70","0.29%","-1.79%","18.01%","7.43%","5.96%","26.79","21,242.32","35.36","2.54","16.60%","13.90%","Apr 29,2026","D","B","A","C","1.04%","6.59"
"ADEA","ADEIA INC","Technology Services","33.90","0.61%","8.88%","31.63%","0.00%","0.00%","17.81","3,653.22","22.37","NA","-10.30%","NA","Apr 28,2026","D","B","F","D","3.61%","8.24"
"AR","Antero Resources","Oil and Gas - Exploration and Production - United States","39.28","0.00%","2.77%","-3.86%","1.01%","3.28%","-5.74","12,049.52","9.18",".36","147.95%","25.75%","Apr 28,2026","B","B","D","A","-0.94%","2.05"
"BESIY","BE Semiconductor Industries","Electronics - Manufacturing Machinery","289.15","0.54%","-1.70%","30.97%","NA","NA","2.7","21,248.33","65.7","NA","137.23%","NA","Apr 28,2026","F","D","A","F","0.61%","28.98"
"CSTL","Castle Biosciences","Medical - Biomedical and Genetics","25.19","0.00%","1.43%","-0.12%","1.41%","1.27%","65.22","751.64","NA","NA","-900.00%","NA","Apr 28,2026","C","B","F","C","1.31%","2.18"
"CYD","China Yuchai International","Automotive - Original Equipment","39.33","1.33%","-5.30%","1.50%","0.00%","NA","NA","1,500.73","13.65",".24","43.63%","56.84%","Apr 28,2026","A","D","C","B","-2.94%","NA"
"GLPEY","Galp Energia","Oil and Gas - Refining and Marketing","11.59","1.45%","3.02%","-5.85%","14.44%","-1.89%","-8.7","15,737.91","11.25","NA","21.18%","NA","Apr 28,2026","A","C","B","A","-1.28%",".68"
"DINO","HF Sinclair","Oil and Gas - Refining and Marketing","70.86","2.89%","14.79%","13.92%","30.78%","14.15%","560","12,469.51","9.74","NA","40.51%","NA","Apr 28,2026","B","D","A","C","2.92%",".45"
"KEYS","Keysight Technologies","Electronics - Measuring Instruments","352.40","0.00%","1.57%","21.00%","0.45%","0.96%","9.05","60,439.20","39.32","2.25","25.14%","17.45%","Apr 28,2026","F","C","C","F","0.71%","10.63"
"KOPN","Kopin","Electronics - Miscellaneous Products","4.79","0.00%","16.22%","64.12%","33.33%","0.00%","NA","788.46","NA","NA","-300.00%","NA","Apr 28,2026","F","D","C","F","-3.59%","20.05"
"LC","LendingClub","Financial - Miscellaneous Services","17.07","0.00%","-2.35%","19.13%","5.08%","2.33%","15.79","1,970.39","9.9","NA","48.28%","NA","Apr 28,2026","D","F","A","F","-0.06%","1.91"
"MPC","Marathon Petroleum","Oil and Gas - Refining and Marketing","250.18","1.63%","9.82%","1.83%","53.21%","51.02%","49.08","72,490.40","9.36",".36","145.79%","25.74%","Apr 28,2026","A","A","B","A","-0.86%",".54"
"MEOH","Methanex","Chemical - Diversified ","64.33","1.15%","7.75%","7.33%","62.84%","17.48%","-36.17","4,970.65","10.78","NA","193.60%","NA","Apr 28,2026","A","D","F","C","-1.97%","1.36"
"PSX","Phillips 66","Oil and Gas - Refining and Marketing","177.54","2.88%","8.19%","-0.01%","17.87%","13.91%","189.09","70,640.73","10.52",".27","160.25%","38.56%","Apr 28,2026","B","C","B","B","-1.65%",".51"
