"Symbol","Company","Industry","Date Added","Price Added","Current Price","% Chg Since Added","Zacks Rank","Report"
"MU","Micron Technology","Semiconductor Memory","12/27/16","23.26","1,044.59","4,390.92","1",""
"LRCX","Lam Research","Semiconductor Equipment - Wafer Fabrication","12/5/16","10.05","318.09","3,065.07","2",""
"CAT","Caterpillar","Manufacturing - Construction and Mining","4/18/17","94.14","863.28","817.01","3",""
"MSFT","Microsoft","COMP-SOFTWARE","2/1/16","55.09","461.20","737.18","3",""
"PLTR","Palantir Technologies","Technology Services","3/26/24","24.51","162.03","561.08","2",""
"PWR","Quanta Services","Engineering - R and D Services","12/23/21","111.52","688.38","517.27","1",""
"CACI","CACI International","COMP-SERVICES","12/2/15","103.31","525.60","408.76","3",""
"AXON","Axon Enterprise","Security and Safety Services","6/3/20","97.85","477.60","388.09","1",""
"GS","The Goldman Sachs Group","Financial - Investment Bank","7/11/18","226.85","1,036.04","356.71","3",""
"XYZ","Block","Internet - Software","3/28/17","17.25","77.36","348.43","1",""
"WMT","Walmart","Retail - Supermarkets","5/30/17","26.04","113.76","336.87","3",""
"JPM","JPMorgan Chase & Co.","BANKS-MAJOR REGIONAL","10/10/16","68.11","296.53","335.37","3",""
"AMD","Advanced Micro Devices","Computer - Integrated Systems","5/19/25","117.17","507.33","332.98","3",""
"CASY","Casey's General Stores","Retail - Convenience Stores","8/20/19","171.98","740.45","330.54","2",""
"DE","Deere & Company","Manufacturing - Farm Equipment","7/25/17","126.55","534.55","322.40","3",""
"SHOP","Shopify","Internet - Services","9/6/22","29.94","123.40","312.14","3",""
"MSCI","MSCI","Business - Software Services","10/10/18","166.96","635.67","280.73","3",""
"V","Visa","Financial Transaction Services","5/30/17","94.67","320.10","238.12","2",""
"CBRE","CBRE Group","Real Estate - Operations","3/13/17","36.40","122.80","237.35","3",""
"HCA","HCA HEALTHCARE","Medical - Hospital","1/7/19","123.39","372.76","202.10","3",""
"ULTA","Ulta Beauty","Retail - Miscellaneous","3/25/20","177.59","503.19","183.34","3",""
"VIRT","Virtu Financial","Financial - Miscellaneous Services","7/31/23","18.90","51.93","174.76","1",""
"ACA","Arcosa","Building Products - Miscellaneous","1/6/20","45.70","122.46","167.96","5",""
"HD","Home Depot","BLDG PRD-RT/WHL","10/15/15","120.27","308.46","156.47","3",""
"BAC","Bank of America","Banks - Major Regional","1/9/17","22.68","51.57","127.36","3",""
"GOOGL","Alphabet","Internet - Services","5/19/25","166.19","375.82","126.14","3",""
"UBER","Uber Technologies","Internet - Services","8/16/19","33.22","74.29","123.62","3",""
"SE","Sea Limited","Financial - Investment Funds","3/26/20","44.04","96.61","119.36","4",""
"BR","Broadridge Financial Solutions","Outsourcing","8/29/17","76.91","159.17","106.95","3",""
"TSLA","Tesla","Automotive - Domestic","8/29/24","205.75","419.99","104.12","4",""
"AXP","American Express","Financial - Miscellaneous Services","12/23/21","162.47","313.41","92.90","3",""
"HII","Huntington Ingalls Industries","AEROSPACE/DEFENSE","5/9/16","155.20","297.80","91.88","3",""
"MMM","3M","Diversified Operations","6/29/23","98.57","149.89","52.06","3",""
"BIP","Brookfield Infrastructure Partners","Utility - Electric Power","8/16/19","26.46","39.43","49.00","4",""
"PLD","Prologis","REIT and Equity Trust - Other","6/3/20","95.46","140.28","46.95","3",""
"LNG","Cheniere Energy","Oil and Gas - Exploration and Production - United States","9/6/22","159.36","229.13","43.78","3",""
"PG","Procter & Gamble","Soap and Cleaning Materials","3/23/20","102.43","140.13","36.81","4",""
"MPLX","MPLX LP","Oil and Gas - Production and Pipelines","3/26/24","40.69","54.78","34.63","3",""
"ROL","Rollins","Building Products - Maintenance Service","1/7/19","36.50","46.57","27.59","3",""
"CVX","Chevron","Oil and Gas - Integrated - International","6/29/23","154.92","186.17","20.17","1",""
"DIS","Disney","Media Conglomerates","3/23/20","85.98","102.00","18.63","3",""
"SOLV","Solventum Corporation","NA","4/1/24","69.15","75.77","9.57","2",""
"GEHC","GE HealthCare Technologies Inc.","Medical Info Systems","1/4/23","60.49","61.86","2.26","4",""
"SBUX","Starbucks","Retail - Restaurants","8/16/19","95.93","96.44","0.53","1",""
"ADBE","Adobe","Computer - Software","3/13/20","285.00","274.82","-3.57","2",""
"SJM","The J. M. Smucker Co.","Food - Miscellaneous","8/29/24","114.73","100.55","-12.36","3",""
"STZ","Constellation Brands","Beverages - Alcohol","4/18/17","170.12","136.58","-19.72","3",""
"CE","Celanese","Chemical - Diversified ","12/5/16","79.10","56.11","-29.06","3",""
"NTLA","Intellia Therapeutics","Medical - Biomedical and Genetics","3/7/23","40.08","14.06","-64.93","3",""
