"Date","Type","Rank","Symbol","Company Name","Price","Change %","Country","Quant Rating","Div Safety","Div Growth","Div Yield","Div Consistency","Empty"
"2025-05-01","top_dividend","1","ALEX","Alexander & Baldwin, Inc.","17.30","-0.23%","United States","RATING: STRONG BUY 4.93","B","B","C+","C+",""
"2025-05-01","top_dividend","2","TSN","Tyson Foods, Inc.","60.79 Post. 61.23","0.30% 0.72%","United States","RATING: STRONG BUY 4.86","B+","A-","B-","A",""
"2025-05-01","top_dividend","3","CLX","The Clorox Company","139.08 Post. 139.80","0.39% 0.52%","United States","RATING: STRONG BUY 4.86","B","A","B-","A+",""
"2025-05-01","top_dividend","4","GILD","Gilead Sciences, Inc.","103.68","0.42%","United States","RATING: STRONG BUY 4.85","B","A","A-","B-",""
"2025-05-01","top_dividend","5","VICI","VICI Properties Inc.","31.69 Post. 31.70","0.57% 0.03%","United States","RATING: STRONG BUY 4.83","B","B","B","A-",""
"2025-05-01","top_dividend","6","CTRE","CareTrust REIT, Inc.","28.54 Post. 30.00","-1.82% 5.12%","United States","RATING: STRONG BUY 4.80","A","A+","B-","C",""
"2025-05-01","top_dividend","7","XOM","Exxon Mobil Corporation","106.21 Post. 106.15","0.41% -0.06%","United States","RATING: STRONG BUY 4.75","B-","A-","C-","A+",""
"2025-05-01","top_dividend","8","ASTE","Astec Industries, Inc.","38.13","2.01%","United States","RATING: STRONG BUY 4.74","B+","B-","C+","C-",""
"2025-05-01","top_dividend","9","NI","NiSource Inc.","39.30","0.87%","United States","RATING: STRONG BUY 4.72","B","B-","C","A",""
"2025-05-01","top_dividend","10","VIRT","Virtu Financial, Inc.","41.16 Post. 40.72","3.37% -1.07%","United States","RATING: STRONG BUY 4.68","B+","B-","C+","C-",""
"2025-05-01","top_dividend","11","NTST","NETSTREIT Corp.","16.03 Post. 16.00","-0.74% -0.19%","United States","RATING: STRONG BUY 4.63","B-","B+","C+","B",""
"2025-05-01","top_dividend","12","SSNC","SS&C Technologies Holdings, Inc.","77.70","2.68%","United States","RATING: STRONG BUY 4.58","A-","B","C","B-",""
"2025-05-01","top_dividend","13","KFY","Korn Ferry","64.04 Post. 62.80","2.32% -1.94%","United States","RATING: STRONG BUY 4.57","A","A-","B+","C",""
"2025-05-01","top_dividend","14","FNF","Fidelity National Financial, Inc.","65.01","2.47%","United States","RATING: STRONG BUY 4.57","A-","B","B","A-",""
"2025-05-01","top_dividend","15","MLI","Mueller Industries, Inc.","75.55 Post. 76.00","2.82% 0.60%","United States","RATING: STRONG BUY 4.56","A","A+","C-","B",""
"2025-05-01","top_dividend","16","GFF","Griffon Corporation","71.07","2.90%","United States","RATING: STRONG BUY 4.56","A","A","B","B+",""
"2025-05-01","top_dividend","17","GRC","The Gorman-Rupp Company","36.85","2.67%","United States","RATING: STRONG BUY 4.55","B-","B-","B","A+",""
"2025-05-01","top_dividend","18","CVX","Chevron Corporation","138.50 Post. 138.65","1.64% 0.11%","United States","RATING: STRONG BUY 4.51","B","B+","C","A+",""
