"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_healthcare","1","NUTX","Nutex Health Inc.","114.63 Post. 111.00","-2.85% -3.17%","RATING: STRONG BUY 4.99","Health Care Services",""
"2025-05-01","top_healthcare","2","XGN","Exagen Inc.","6.02 Post. 5.78","-1.95% -3.99%","RATING: STRONG BUY 4.98","Biotechnology",""
"2025-05-01","top_healthcare","3","XERS","Xeris Biopharma Holdings, Inc.","4.71 Post. 4.70","5.13% -0.21%","RATING: STRONG BUY 4.96","Pharmaceuticals",""
"2025-05-01","top_healthcare","4","VRNA","Verona Pharma plc","72.73 Post. 72.42","0.65% -0.43%","RATING: STRONG BUY 4.95","Pharmaceuticals",""
"2025-05-01","top_healthcare","5","TGTX","TG Therapeutics, Inc.","43.44 Post. 43.60","-4.25% 0.37%","RATING: STRONG BUY 4.95","Biotechnology",""
"2025-05-01","top_healthcare","6","THTX","Theratechnologies Inc.","2.77 Post. 2.72","-5.14% -1.77%","RATING: STRONG BUY 4.92","Biotechnology",""
"2025-05-01","top_healthcare","7","CTMX","CytomX Therapeutics, Inc.","0.80 Post. 0.82","5.90% 2.24%","RATING: STRONG BUY 4.92","Biotechnology",""
"2025-05-01","top_healthcare","8","ICAD","iCAD, Inc.","3.50","2.34%","RATING: STRONG BUY 4.88","Health Care Technology",""
"2025-05-01","top_healthcare","9","GILD","Gilead Sciences, Inc.","103.68","0.42%","RATING: STRONG BUY 4.85","Biotechnology",""
"2025-05-01","top_healthcare","10","ANIP","ANI Pharmaceuticals, Inc.","72.95 Post. 73.15","3.20% 0.27%","RATING: STRONG BUY 4.82","Pharmaceuticals",""
"2025-05-01","top_healthcare","11","ONC","BeiGene, Ltd.","255.77 Post. 255.01","0.05% -0.30%","RATING: STRONG BUY 4.79","Biotechnology",""
"2025-05-01","top_healthcare","12","WGS","GeneDx Holdings Corp.","67.23 Post. 66.51","7.88% -1.07%","RATING: STRONG BUY 4.78","Health Care Services",""
"2025-05-01","top_healthcare","13","BFLY","Butterfly Network, Inc.","2.33 Post. 2.34","-0.43% 0.48%","RATING: STRONG BUY 4.77","Health Care Equipment",""
"2025-05-01","top_healthcare","14","ROIV","Roivant Sciences Ltd.","11.48","-0.86%","RATING: STRONG BUY 4.76","Biotechnology",""
"2025-05-01","top_healthcare","15","SMMNY","Siemens Healthineers AG","27.11 Post. 27.12","1.31% 0.04%","RATING: STRONG BUY 4.72","Health Care Equipment",""
"2025-05-01","top_healthcare","16","GH","Guardant Health, Inc.","46.85","-4.13%","RATING: STRONG BUY 4.70","Health Care Services",""
"2025-05-01","top_healthcare","17","BSEM","BioStem Technologies, Inc.","14.03","0.50%","RATING: STRONG BUY 4.69","Pharmaceuticals",""
"2025-05-01","top_healthcare","18","ALPMY","Astellas Pharma Inc.","10.10","1.92%","RATING: STRONG BUY 4.68","Pharmaceuticals",""
"2025-05-01","top_healthcare","19","OTSKY","Otsuka Holdings Co., Ltd.","26.73","5.86%","RATING: STRONG BUY 4.67","Pharmaceuticals",""
"2025-05-01","top_healthcare","20","ARQT","Arcutis Biotherapeutics, Inc.","15.24 Post. 15.55","4.03% 2.03%","RATING: STRONG BUY 4.66","Biotechnology",""
"2025-05-01","top_healthcare","21","BKD","Brookdale Senior Living Inc.","6.58 Post. 6.41","0.15% -2.58%","RATING: STRONG BUY 4.66","Health Care Facilities",""
"2025-05-01","top_healthcare","22","EXEL","Exelixis, Inc.","39.60 Post. 39.99","1.83% 0.98%","RATING: STRONG BUY 4.65","Biotechnology",""
"2025-05-01","top_healthcare","23","OPRX","OptimizeRx Corporation","10.05","4.25%","RATING: STRONG BUY 4.65","Health Care Technology",""
"2025-05-01","top_healthcare","24","IVA","Inventiva S.A.","3.38 Post. 3.54","-3.37% 4.67%","RATING: STRONG BUY 4.64","Biotechnology",""
"2025-05-01","top_healthcare","25","ACB","Aurora Cannabis Inc.","4.84","1.89%","RATING: STRONG BUY 4.63","Pharmaceuticals",""
"2025-05-01","top_healthcare","26","PHG","Koninklijke Philips N.V.","25.59","2.44%","RATING: STRONG BUY 4.61","Health Care Equipment",""
"2025-05-01","top_healthcare","27","SEER","Seer, Inc.","2.05","0.49%","RATING: STRONG BUY 4.60","Life Sciences Tools and Services",""
"2025-05-01","top_healthcare","28","CSBR","Champions Oncology, Inc.","5.77 Post. 6.00","-9.56% 3.99%","RATING: STRONG BUY 4.56","Life Sciences Tools and Services",""
"2025-05-01","top_healthcare","29","AVAH","Aveanna Healthcare Holdings Inc.","4.84","7.56%","RATING: STRONG BUY 4.55","Health Care Services",""
"2025-05-01","top_healthcare","30","ZLAB","Zai Lab Limited","31.18 Post. 31.17","0.10% -0.03%","RATING: STRONG BUY 4.55","Biotechnology",""
"2025-05-01","top_healthcare","31","ASND","Ascendis Pharma A/S","172.06","2.74%","RATING: STRONG BUY 4.53","Biotechnology",""
"2025-05-01","top_healthcare","32","CNC","Centene Corporation","60.16 Post. 60.00","1.26% -0.27%","RATING: STRONG BUY 4.51","Managed Health Care",""
"2025-05-01","top_healthcare","33","PRTC","PureTech Health plc","17.55","-0.62%","RATING: STRONG BUY 4.50","Biotechnology",""
"2025-05-01","top_healthcare","34","TSHA","Taysha Gene Therapies, Inc.","2.58 Post. 2.47","7.05% -4.39%","RATING: BUY 4.48","Biotechnology",""
"2025-05-01","top_healthcare","35","AMRN","Amarin Corporation plc","10.91 Post. 11.09","-0.64% 1.65%","RATING: BUY 4.46","Biotechnology",""
"2025-05-01","top_healthcare","36","ATYR","aTyr Pharma, Inc.","3.60 Post. 3.63","7.78% 0.80%","RATING: BUY 4.45","Biotechnology",""
"2025-05-01","top_healthcare","37","LUCD","Lucid Diagnostics Inc.","1.29 Post. 1.31","-0.39% 1.95%","RATING: BUY 4.45","Health Care Equipment",""
"2025-05-01","top_healthcare","38","VREOF","Vireo Growth Inc.","0.45","-1.00%","RATING: BUY 4.41","Pharmaceuticals",""
"2025-05-01","top_healthcare","39","CAPR","Capricor Therapeutics, Inc.","11.86 Post. 11.90","-6.91% 0.34%","RATING: BUY 4.39","Biotechnology",""
"2025-05-01","top_healthcare","40","TAK","Takeda Pharmaceutical Company Limited","15.32 Post. 15.40","1.93% 0.52%","RATING: BUY 4.37","Pharmaceuticals",""
"2025-05-01","top_healthcare","41","BVS","Bioventus Inc.","7.34 Post. 7.14","1.10% -2.72%","RATING: BUY 4.37","Health Care Supplies",""
"2025-05-01","top_healthcare","42","OWLT","Owlet, Inc.","3.99","2.84%","RATING: BUY 4.37","Health Care Equipment",""
"2025-05-01","top_healthcare","43","ATEC","Alphatec Holdings, Inc.","12.00 Post. 11.96","8.50% -0.33%","RATING: BUY 4.36","Health Care Equipment",""
"2025-05-01","top_healthcare","44","CDTX","Cidara Therapeutics, Inc.","21.69","-0.28%","RATING: BUY 4.35","Biotechnology",""
"2025-05-01","top_healthcare","45","ADPT","Adaptive Biotechnologies Corporation","9.84 Post. 10.00","33.70% 1.63%","RATING: BUY 4.33","Life Sciences Tools and Services",""
"2025-05-01","top_healthcare","46","CCLD","CareCloud, Inc.","1.89 Post. 1.91","5.90% 1.33%","RATING: BUY 4.33","Health Care Technology",""
"2025-05-01","top_healthcare","47","FMS","Fresenius Medical Care AG","25.59","2.28%","RATING: BUY 4.30","Health Care Services",""
"2025-05-01","top_healthcare","48","CRMD","CorMedix Inc.","9.38 Post. 9.31","-2.80% -0.75%","RATING: BUY 4.27","Pharmaceuticals",""
"2025-05-01","top_healthcare","49","TVTX","Travere Therapeutics, Inc.","21.15","1.88%","RATING: BUY 4.26","Biotechnology",""
"2025-05-01","top_healthcare","50","QSI","Quantum-Si incorporated","1.26 Post. 1.25","8.62% -0.79%","RATING: BUY 4.23","Life Sciences Tools and Services",""
"2025-05-01","top_healthcare","51","NEUE","NeueHealth, Inc.","6.77","-0.15%","RATING: BUY 4.22","Managed Health Care",""
"2025-05-01","top_healthcare","52","AKBA","Akebia Therapeutics, Inc.","2.45 Post. 2.43","2.51% -0.82%","RATING: BUY 4.21","Biotechnology",""
"2025-05-01","top_healthcare","53","HRTX","Heron Therapeutics, Inc.","2.31 Post. 2.35","-1.70% 1.73%","RATING: BUY 4.19","Biotechnology",""
"2025-05-01","top_healthcare","54","AGL","agilon health, inc.","4.16 Post. 4.15","5.85% -0.24%","RATING: BUY 4.17","Health Care Services",""
"2025-05-01","top_healthcare","55","PTCT","PTC Therapeutics, Inc.","49.95","0.87%","RATING: BUY 4.14","Biotechnology",""
"2025-05-01","top_healthcare","56","MDXH","MDxHealth SA","1.72 Post. 1.79","-1.15% 4.07%","RATING: BUY 4.13","Biotechnology",""
"2025-05-01","top_healthcare","57","CVAC","CureVac N.V.","3.56 Post. 3.57","4.71% 0.28%","RATING: BUY 4.11","Biotechnology",""
"2025-05-01","top_healthcare","58","HALO","Halozyme Therapeutics, Inc.","61.19","1.93%","RATING: BUY 4.11","Biotechnology",""
"2025-05-01","top_healthcare","59","AMRX","Amneal Pharmaceuticals, Inc.","7.97 Post. 7.80","2.97% -2.13%","RATING: BUY 4.07","Pharmaceuticals",""
"2025-05-01","top_healthcare","60","ABUS","Arbutus Biopharma Corporation","3.59","-0.55%","RATING: BUY 4.07","Biotechnology",""
"2025-05-01","top_healthcare","61","EHAB","Enhabit, Inc.","8.05","2.55%","RATING: BUY 4.06","Health Care Services",""
"2025-05-01","top_healthcare","62","BMRN","BioMarin Pharmaceutical Inc.","62.03 Post. 63.70","-1.08% 2.69%","RATING: BUY 4.05","Biotechnology",""
"2025-05-01","top_healthcare","63","VTGN","Vistagen Therapeutics, Inc.","2.38 Post. 2.38","0.64% 0.21%","RATING: BUY 4.03","Biotechnology",""
"2025-05-01","top_healthcare","64","BCRX","BioCryst Pharmaceuticals, Inc.","8.93 Post. 8.90","2.53% -0.34%","RATING: BUY 4.01","Biotechnology",""
"2025-05-01","top_healthcare","65","SGMT","Sagimet Biosciences Inc.","3.83 Post. 3.80","-2.54% -0.78%","RATING: BUY 4.00","Biotechnology",""
"2025-05-01","top_healthcare","66","AUNA","Auna S.A.","6.92","-2.54%","RATING: BUY 3.99","Health Care Facilities",""
"2025-05-01","top_healthcare","67","ZYME","Zymeworks Inc.","12.96","0.62%","RATING: BUY 3.99","Biotechnology",""
"2025-05-01","top_healthcare","68","TWST","Twist Bioscience Corporation","39.24","4.06%","RATING: BUY 3.94","Biotechnology",""
"2025-05-01","top_healthcare","69","ASMB","Assembly Biosciences, Inc.","14.18 Post. 14.15","23.95% -0.22%","RATING: BUY 3.93","Biotechnology",""
"2025-05-01","top_healthcare","70","GRFS","Grifols, S.A.","7.35","4.70%","RATING: BUY 3.88","Biotechnology",""
"2025-05-01","top_healthcare","71","RIGL","Rigel Pharmaceuticals, Inc.","19.36","3.42%","RATING: BUY 3.86","Biotechnology",""
"2025-05-01","top_healthcare","72","IFRX","InflaRx N.V.","1.73 Post. 1.83","-6.49% 5.78%","RATING: BUY 3.85","Biotechnology",""
"2025-05-01","top_healthcare","73","NPCE","NeuroPace, Inc.","11.98 Post. 12.21","1.61% 1.92%","RATING: BUY 3.85","Health Care Equipment",""
"2025-05-01","top_healthcare","74","SUPN","Supernus Pharmaceuticals, Inc.","32.84","1.20%","RATING: BUY 3.84","Pharmaceuticals",""
"2025-05-01","top_healthcare","75","DCTH","Delcath Systems, Inc.","12.40","2.65%","RATING: BUY 3.83","Health Care Equipment",""
"2025-05-01","top_healthcare","76","VMD","Viemed Healthcare, Inc.","7.37","4.39%","RATING: BUY 3.80","Health Care Services",""
"2025-05-01","top_healthcare","77","OM","Outset Medical, Inc.","12.25 Post. 12.70","9.67% 3.67%","RATING: BUY 3.78","Health Care Equipment",""
"2025-05-01","top_healthcare","78","ATRC","AtriCure, Inc.","30.02","2.49%","RATING: BUY 3.73","Health Care Equipment",""
"2025-05-01","top_healthcare","79","CLPT","ClearPoint Neuro, Inc.","14.43 Post. 14.15","3.74% -1.94%","RATING: BUY 3.73","Health Care Equipment",""
"2025-05-01","top_healthcare","80","OCS","Oculis Holding AG","18.87","6.43%","RATING: BUY 3.72","Pharmaceuticals",""
"2025-05-01","top_healthcare","81","CRDF","Cardiff Oncology, Inc.","2.82 Post. 2.87","4.06% 1.77%","RATING: BUY 3.70","Biotechnology",""
