"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_industrial","1","VCISY","Vinci SA","35.62","1.74%","RATING: STRONG BUY 4.96","Construction and Engineering",""
"2025-05-01","top_industrial","2","AFLYY","Air France-KLM SA","0.88","1.82%","RATING: STRONG BUY 4.95","Passenger Airlines",""
"2025-05-01","top_industrial","3","CYD","China Yuchai International Limited","16.61 Post. 16.70","8.56% 0.54%","RATING: STRONG BUY 4.94","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","4","ALSMY","Alstom SA","2.39","-2.05%","RATING: STRONG BUY 4.94","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","5","SIEGY","Siemens Aktiengesellschaft","119.46","3.33%","RATING: STRONG BUY 4.93","Industrial Conglomerates",""
"2025-05-01","top_industrial","6","CODYY","Compagnie de Saint-Gobain S.A.","22.56","1.76%","RATING: STRONG BUY 4.91","Building Products",""
"2025-05-01","top_industrial","7","PBI","Pitney Bowes Inc.","9.04 Post. 9.00","3.31% -0.44%","RATING: STRONG BUY 4.90","Office Services and Supplies",""
"2025-05-01","top_industrial","8","TATT","TAT Technologies Ltd.","29.31 Post. 30.15","0.34% 2.87%","RATING: STRONG BUY 4.90","Aerospace and Defense",""
"2025-05-01","top_industrial","9","IBEX","IBEX Limited","25.44 Post. 25.43","2.60% -0.02%","RATING: STRONG BUY 4.89","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","10","ASR","Grupo Aeroportuario del Sureste, S. A. B. de C. V.","314.27","-0.63%","RATING: STRONG BUY 4.88","Airport Services",""
"2025-05-01","top_industrial","11","ANYYY","Aena S.M.E., S.A.","25.50","-1.10%","RATING: STRONG BUY 4.88","Airport Services",""
"2025-05-01","top_industrial","12","PSIX","Power Solutions International, Inc.","27.45 Post. 27.01","6.73% -1.60%","RATING: STRONG BUY 4.87","Heavy Electrical Equipment",""
"2025-05-01","top_industrial","13","DXPE","DXP Enterprises, Inc.","92.02 Post. 92.30","3.42% 0.30%","RATING: STRONG BUY 4.86","Trading Companies and Distributors",""
"2025-05-01","top_industrial","14","HTHIY","Hitachi, Ltd.","25.93 Post. 25.91","1.85% -0.08%","RATING: STRONG BUY 4.84","Industrial Conglomerates",""
"2025-05-01","top_industrial","15","HURN","Huron Consulting Group Inc.","147.36","4.57%","RATING: STRONG BUY 4.84","Research and Consulting Services",""
"2025-05-01","top_industrial","16","G","Genpact Limited","49.71","0.95%","RATING: STRONG BUY 4.83","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","17","KNYJY","KONE Oyj","30.81","-0.03%","RATING: STRONG BUY 4.83","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","18","LQDT","Liquidity Services, Inc.","32.07","0.72%","RATING: STRONG BUY 4.81","Diversified Support Services",""
"2025-05-01","top_industrial","19","STRL","Sterling Infrastructure, Inc.","165.64 Post. 165.77","3.55% 0.08%","RATING: STRONG BUY 4.80","Construction and Engineering",""
"2025-05-01","top_industrial","20","NXT","Nextracker Inc.","42.20 Post. 41.87","0.79% -0.78%","RATING: STRONG BUY 4.77","Electrical Components and Equipment",""
"2025-05-01","top_industrial","21","SMGZY","Smiths Group plc","25.78","1.30%","RATING: STRONG BUY 4.74","Industrial Conglomerates",""
"2025-05-01","top_industrial","22","ASTE","Astec Industries, Inc.","38.13","2.01%","RATING: STRONG BUY 4.74","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","23","WLDN","Willdan Group, Inc.","39.67","0.35%","RATING: STRONG BUY 4.73","Research and Consulting Services",""
"2025-05-01","top_industrial","24","RYAAY","Ryanair Holdings plc","49.88","3.38%","RATING: STRONG BUY 4.71","Passenger Airlines",""
"2025-05-01","top_industrial","25","MYRG","MYR Group Inc.","154.57 Post. 154.00","5.08% -0.37%","RATING: STRONG BUY 4.70","Construction and Engineering",""
"2025-05-01","top_industrial","26","SBGSY","Schneider Electric S.E.","48.96","4.10%","RATING: STRONG BUY 4.70","Electrical Components and Equipment",""
"2025-05-01","top_industrial","27","SKYW","SkyWest, Inc.","93.81","4.03%","RATING: STRONG BUY 4.65","Passenger Airlines",""
"2025-05-01","top_industrial","28","BTM","Bitcoin Depot Inc.","1.51 Post. 1.47","1.34% -2.65%","RATING: STRONG BUY 4.64","Diversified Support Services",""
"2025-05-01","top_industrial","29","SKIL","Skillsoft Corp.","19.41","1.20%","RATING: STRONG BUY 4.62","Human Resource & Employment Services",""
"2025-05-01","top_industrial","30","SSNC","SS&C Technologies Holdings, Inc.","77.70","2.68%","RATING: STRONG BUY 4.58","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","31","KFY","Korn Ferry","64.04 Post. 62.80","2.32% -1.94%","RATING: STRONG BUY 4.57","Human Resource & Employment Services",""
"2025-05-01","top_industrial","32","ALFVY","Alfa Laval AB (publ)","42.22 Post. 41.96","2.26% -0.62%","RATING: STRONG BUY 4.57","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","33","MLI","Mueller Industries, Inc.","75.55 Post. 76.00","2.82% 0.60%","RATING: STRONG BUY 4.56","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","34","GFF","Griffon Corporation","71.07","2.90%","RATING: STRONG BUY 4.56","Building Products",""
"2025-05-01","top_industrial","35","THR","Thermon Group Holdings, Inc.","27.66","3.40%","RATING: STRONG BUY 4.55","Electrical Components and Equipment",""
"2025-05-01","top_industrial","36","GRC","The Gorman-Rupp Company","36.85","2.67%","RATING: STRONG BUY 4.55","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","37","CRAI","CRA International, Inc.","166.63 Post. 167.00","0.11% 0.22%","RATING: STRONG BUY 4.53","Research and Consulting Services",""
"2025-05-01","top_industrial","38","BYRN","Byrna Technologies Inc.","23.78 Post. 24.64","5.36% 3.62%","RATING: STRONG BUY 4.51","Aerospace and Defense",""
"2025-05-01","top_industrial","39","GRAB","Grab Holdings Limited","4.89 Post. 4.87","2.52% -0.41%","RATING: STRONG BUY 4.50","Passenger Ground Transportation",""
"2025-05-01","top_industrial","40","TLPFY","Teleperformance SE","50.36","-5.48%","RATING: BUY 4.49","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","41","NJDCY","Nidec Corporation","4.52","3.20%","RATING: BUY 4.43","Electrical Components and Equipment",""
"2025-05-01","top_industrial","42","RTX","RTX Corporation","130.21 Post. 130.37","2.20% 0.12%","RATING: BUY 4.41","Aerospace and Defense",""
"2025-05-01","top_industrial","43","CACI","CACI International Inc","463.17","0.94%","RATING: BUY 4.39","Research and Consulting Services",""
"2025-05-01","top_industrial","44","CPA","Copa Holdings, S.A.","94.37 Post. 93.45","1.75% -0.97%","RATING: BUY 4.36","Passenger Airlines",""
"2025-05-01","top_industrial","45","OMAB","Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.","88.42","-0.08%","RATING: BUY 4.32","Airport Services",""
"2025-05-01","top_industrial","46","PRIM","Primoris Services Corporation","66.18 Post. 66.17","3.65% -0.02%","RATING: BUY 4.32","Construction and Engineering",""
"2025-05-01","top_industrial","47","CAAP","Corporación América Airports S.A.","19.52","1.61%","RATING: BUY 4.27","Airport Services",""
"2025-05-01","top_industrial","48","ERJ","Embraer S.A.","46.72 Post. 47.02","2.03% 0.64%","RATING: BUY 4.24","Aerospace and Defense",""
"2025-05-01","top_industrial","49","MTZ","MasTec, Inc.","140.87 Post. 143.81","5.12% 2.09%","RATING: BUY 4.23","Construction and Engineering",""
"2025-05-01","top_industrial","50","ERII","Energy Recovery, Inc.","15.80","1.41%","RATING: BUY 4.17","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","51","AZZ","AZZ Inc.","90.46 Post. 90.25","4.12% -0.23%","RATING: BUY 4.14","Building Products",""
"2025-05-01","top_industrial","52","LZ","LegalZoom.com, Inc.","7.38","0.96%","RATING: BUY 4.12","Research and Consulting Services",""
"2025-05-01","top_industrial","53","SKYH","Sky Harbour Group Corporation","11.25 Post. 10.69","4.94% -4.98%","RATING: BUY 4.12","Airport Services",""
"2025-05-01","top_industrial","54","NL","NL Industries, Inc.","8.89 Post. 8.95","4.47% 0.67%","RATING: BUY 4.10","Office Services and Supplies",""
"2025-05-01","top_industrial","55","HCSG","Healthcare Services Group, Inc.","14.78","1.79%","RATING: BUY 4.09","Diversified Support Services",""
"2025-05-01","top_industrial","56","GD","General Dynamics Corporation","273.03 Post. 273.08","0.56% 0.02%","RATING: BUY 4.05","Aerospace and Defense",""
"2025-05-01","top_industrial","57","CECO","CECO Environmental Corp.","25.92","6.19%","RATING: BUY 4.04","Environmental and Facilities Services",""
"2025-05-01","top_industrial","58","ABM","ABM Industries Incorporated","49.69 Post. 49.51","1.43% -0.36%","RATING: BUY 4.02","Environmental and Facilities Services",""
"2025-05-01","top_industrial","59","MG","Mistras Group, Inc.","9.39","2.51%","RATING: BUY 3.98","Research and Consulting Services",""
"2025-05-01","top_industrial","60","LYFT","Lyft, Inc.","12.65 Post. 12.74","1.52% 0.71%","RATING: BUY 3.97","Passenger Ground Transportation",""
"2025-05-01","top_industrial","61","CAE","CAE Inc.","25.89 Post. 25.87","3.15% -0.06%","RATING: BUY 3.96","Aerospace and Defense",""
"2025-05-01","top_industrial","62","GHM","Graham Corporation","33.12 Post. 32.48","3.50% -1.93%","RATING: BUY 3.94","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","63","EXPD","Expeditors International of Washington, Inc.","112.59 Post. 112.01","2.72% -0.52%","RATING: BUY 3.91","Air Freight and Logistics",""
"2025-05-01","top_industrial","64","BE","Bloom Energy Corporation","16.44 Post. 16.46","-2.20% 0.12%","RATING: BUY 3.91","Heavy Electrical Equipment",""
"2025-05-01","top_industrial","65","ELVA","Electrovaya Inc.","2.69 Post. 2.65","3.67% -1.30%","RATING: BUY 3.89","Electrical Components and Equipment",""
"2025-05-01","top_industrial","66","LDOS","Leidos Holdings, Inc.","148.79 Post. 149.77","1.49% 0.66%","RATING: BUY 3.82","Research and Consulting Services",""
"2025-05-01","top_industrial","67","LUV","Southwest Airlines Co.","29.85 Post. 29.87","4.44% 0.07%","RATING: BUY 3.82","Passenger Airlines",""
"2025-05-01","top_industrial","68","BLBD","Blue Bird Corporation","37.97 Post. 37.97","5.43% 0.01%","RATING: BUY 3.81","Construction Machinery & Heavy Transportation Equipment",""
"2025-05-01","top_industrial","69","ATI","ATI Inc.","66.57 Post. 66.55","6.96% -0.03%","RATING: BUY 3.80","Aerospace and Defense",""
"2025-05-01","top_industrial","70","HSII","Heidrick & Struggles International, Inc.","39.71","1.38%","RATING: BUY 3.77","Human Resource & Employment Services",""
"2025-05-01","top_industrial","71","ACM","AECOM","102.35 Post. 102.37","2.09% 0.02%","RATING: BUY 3.76","Construction and Engineering",""
"2025-05-01","top_industrial","72","EMR","Emerson Electric Co.","108.32 Post. 107.72","2.37% -0.55%","RATING: BUY 3.75","Electrical Components and Equipment",""
"2025-05-01","top_industrial","73","ASLE","AerSale Corporation","7.11","2.89%","RATING: BUY 3.75","Aerospace and Defense",""
"2025-05-01","top_industrial","74","SPXC","SPX Technologies, Inc.","144.73 Post. 144.00","5.90% -0.50%","RATING: BUY 3.74","Industrial Machinery & Supplies & Components",""
"2025-05-01","top_industrial","75","EH","EHang Holdings Limited","18.82 Post. 18.88","9.42% 0.32%","RATING: BUY 3.70","Aerospace and Defense",""
"2025-05-01","top_industrial","76","CNXC","Concentrix Corporation","51.10","0.93%","RATING: BUY 3.70","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","77","EXLS","ExlService Holdings, Inc.","46.87 Post. 46.75","1.21% -0.26%","RATING: BUY 3.69","Data Processing & Outsourced Services",""
"2025-05-01","top_industrial","78","ASUR","Asure Software, Inc.","10.15 Post. 9.96","3.36% -1.87%","RATING: BUY 3.68","Human Resource & Employment Services",""
"2025-05-01","top_industrial","79","SB","Safe Bulkers, Inc.","3.45 Post. 3.48","2.37% 0.87%","RATING: BUY 3.67","Marine Transportation",""
