"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Empty"
"2025-05-01","top_technology","1","PRCH","Porch Group, Inc.","6.38 Post. 6.39","3.91% 0.16%","RATING: STRONG BUY 4.99","Application Software",""
"2025-05-01","top_technology","2","KC","Kingsoft Cloud Holdings Limited","15.23 Post. 15.30","9.02% 0.46%","RATING: STRONG BUY 4.97","Internet Services and Infrastructure",""
"2025-05-01","top_technology","3","FARO","FARO Technologies, Inc.","30.81","4.02%","RATING: STRONG BUY 4.92","Electronic Equipment and Instruments",""
"2025-05-01","top_technology","4","CRDO","Credo Technology Group Holding Ltd","48.26 Post. 48.10","5.97% -0.33%","RATING: STRONG BUY 4.92","Semiconductors",""
"2025-05-01","top_technology","5","COMM","CommScope Holding Company, Inc.","4.76 Post. 4.77","4.62% 0.21%","RATING: STRONG BUY 4.91","Communications Equipment",""
"2025-05-01","top_technology","6","ERIC","Telefonaktiebolaget LM Ericsson (publ)","8.34 Post. 8.29","1.34% -0.60%","RATING: STRONG BUY 4.90","Communications Equipment",""
"2025-05-01","top_technology","7","BKTI","BK Technologies Corporation","47.27 Post. 48.19","7.53% 1.95%","RATING: STRONG BUY 4.88","Communications Equipment",""
"2025-05-01","top_technology","8","GDS","GDS Holdings Limited","28.10 Post. 28.27","9.08% 0.60%","RATING: STRONG BUY 4.84","Internet Services and Infrastructure",""
"2025-05-01","top_technology","9","CLS","Celestica Inc.","94.07 Post. 94.49","5.45% 0.45%","RATING: STRONG BUY 4.84","Electronic Manufacturing Services",""
"2025-05-01","top_technology","10","MPTI","M-tron Industries, Inc.","58.44 Post. 59.55","1.97% 1.90%","RATING: STRONG BUY 4.83","Electronic Components",""
"2025-05-01","top_technology","11","KLTR","Kaltura, Inc.","2.23 Post. 2.29","1.83% 2.69%","RATING: STRONG BUY 4.81","Application Software",""
"2025-05-01","top_technology","12","OLO","Olo Inc.","7.28 Post. 7.25","2.25% -0.41%","RATING: STRONG BUY 4.80","Application Software",""
"2025-05-01","top_technology","13","INTA","Intapp, Inc.","58.17","4.92%","RATING: STRONG BUY 4.78","Application Software",""
"2025-05-01","top_technology","14","KD","Kyndryl Holdings, Inc.","33.15 Post. 33.20","2.50% 0.15%","RATING: STRONG BUY 4.78","IT Consulting and Other Services",""
"2025-05-01","top_technology","15","RMNI","Rimini Street, Inc.","3.28 Post. 3.29","-7.61% 0.30%","RATING: STRONG BUY 4.77","Application Software",""
"2025-05-01","top_technology","16","VNET","VNET Group, Inc.","7.08 Post. 7.10","12.92% 0.28%","RATING: STRONG BUY 4.77","Internet Services and Infrastructure",""
"2025-05-01","top_technology","17","CALX","Calix, Inc.","42.00","1.67%","RATING: STRONG BUY 4.76","Communications Equipment",""
"2025-05-01","top_technology","18","LNVGY","Lenovo Group Limited","23.76","3.21%","RATING: STRONG BUY 4.74","Technology Hardware, Storage and Peripherals",""
