"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Valuation","Market Cap","Empty"
"2025-05-01","top_value","1","BBSEY","BB Seguridade Participações S.A.","7.63","-2.18%","RATING: STRONG BUY 4.96","A","14.47B",""
"2025-05-01","top_value","2","AFLYY","Air France-KLM SA","0.88","1.82%","RATING: STRONG BUY 4.95","A+","2.41B",""
"2025-05-01","top_value","3","COMM","CommScope Holding Company, Inc.","4.76 Post. 4.77","4.62% 0.21%","RATING: STRONG BUY 4.91","A","1.03B",""
"2025-05-01","top_value","4","ASR","Grupo Aeroportuario del Sureste, S. A. B. de C. V.","314.27","-0.63%","RATING: STRONG BUY 4.88","A","9.39B",""
"2025-05-01","top_value","5","SSRM","SSR Mining Inc.","10.03 Post. 10.00","-0.30% -0.30%","RATING: STRONG BUY 4.88","A","2.03B",""
"2025-05-01","top_value","6","BTG","B2Gold Corp.","2.94","-1.67%","RATING: STRONG BUY 4.87","A+","3.90B",""
"2025-05-01","top_value","7","FINV","FinVolution Group","8.40 Post. 8.49","5.13% 1.07%","RATING: STRONG BUY 4.85","A","2.12B",""
"2025-05-01","top_value","8","UNFI","United Natural Foods, Inc.","26.81 Post. 25.47","-0.48% -5.00%","RATING: STRONG BUY 4.82","A+","1.62B",""
"2025-05-01","top_value","9","EDPFY","EDP S A ADR","38.97","0.23%","RATING: STRONG BUY 4.81","A","15.17B",""
"2025-05-01","top_value","10","ENVA","Enova International, Inc.","94.86 Post. 93.04","3.56% -1.92%","RATING: STRONG BUY 4.79","A","2.41B",""
"2025-05-01","top_value","11","MT","ArcelorMittal S.A.","30.64 Post. 30.83","3.16% 0.62%","RATING: STRONG BUY 4.76","A","23.53B",""
"2025-05-01","top_value","12","TKC","Turkcell Iletisim Hizmetleri A.S.","5.87 Post. 5.96","-0.34% 1.53%","RATING: STRONG BUY 4.75","A","5.03B",""
"2025-05-01","top_value","13","LNVGY","Lenovo Group Limited","23.76","3.21%","RATING: STRONG BUY 4.74","A","14.81B",""
"2025-05-01","top_value","14","STX","Seagate Technology Holdings plc","93.07 Post. 93.08","3.40% 0.01%","RATING: STRONG BUY 4.73","A+","19.75B",""
"2025-05-01","top_value","15","SCRYY","SCOR SE","2.98","-8.74%","RATING: STRONG BUY 4.71","A","5.36B",""
"2025-05-01","top_value","16","LPL","LG Display Co., Ltd.","3.02 Post. 2.93","2.37% -2.98%","RATING: STRONG BUY 4.71","A+","2.98B",""
"2025-05-01","top_value","17","AMBP","Ardagh Metal Packaging S.A.","3.65 Post. 3.70","-1.62% 1.37%","RATING: STRONG BUY 4.54","A+","2.18B",""
"2025-05-01","top_value","18","BBD","Banco Bradesco S.A.","2.40 Post. 2.41","-0.83% 0.41%","RATING: BUY 4.47","A","23.86B",""
"2025-05-01","top_value","19","CX","CEMEX, S.A.B. de C.V.","6.15 Post. 6.19","0.82% 0.68%","RATING: BUY 4.39","A","8.93B",""
"2025-05-01","top_value","20","CPA","Copa Holdings, S.A.","94.37 Post. 93.45","1.75% -0.97%","RATING: BUY 4.36","A","3.90B",""
"2025-05-01","top_value","21","UMC","United Microelectronics Corporation","7.35 Post. 7.30","4.85% -0.68%","RATING: BUY 4.17","A","18.63B",""
"2025-05-01","top_value","22","CWEN.A","Clearway Energy, Inc.","26.97 Post. 26.50","-0.22% -1.74%","RATING: BUY 4.15","A","5.68B",""
"2025-05-01","top_value","23","OI","O-I Glass, Inc.","13.22","3.20%","RATING: BUY 4.10","A","2.04B",""
"2025-05-01","top_value","24","MLCO","Melco Resorts & Entertainment Limited","5.35 Post. 5.37","6.36% 0.37%","RATING: BUY 3.71","A","2.21B",""
"2025-05-01","top_value","25","TPC","Tutor Perini Corporation","22.94 Post. 23.32","4.18% 1.66%","RATING: BUY 3.62","A","1.21B",""
"2025-05-01","top_value","26","HLDCY","Henderson Land Development Company Limited","2.81","-0.35%","RATING: BUY 3.50","A","13.87B",""
